GEOID,MSA,year,pop,pop_male,pop_female,pop5_14,pop15_17,pop18_24,pop15_44,pop18up,pop65up,pop75up,median_age,sex_ratio,age_dep,oldage_dep,child_dep
3100000US10140,10140,2006,71587,.5098272032631623,.4901727967368377,12.5,4.2,9.5,39.7,77.59999999999999,14.9,7.1,39.2,104,59.5,23.8,35.7
3100000US10140,10140,2007,71335,.5151468423634962,.4848531576365038,11.8,4.3,8.800000000000001,39.5,77.90000000000001,15.4,7.1,39.7,106.2,60.1,24.7,35.4
3100000US10140,10140,2008,71342,.5046396232233467,.4953603767766533,12.2,3.7,8.4,38.7,78.3,16,7.6,38.9,101.9,60.6,25.7,34.9
3100000US10140,10140,2009,71797,.5026393860467707,.4973606139532292,12,4.3,8.800000000000001,37.6,77.40000000000001,15.3,6.5,40.4,101.1,60.8,24.5,36.3
310M100US10140,10140,2010,72882,.5134189511813616,.4865810488186383,11.8,3.7,8.9,35.8,78.90000000000001,16,7.1,43,105.5,58.8,25.4,33.4
310M100US10140,10140,2011,72546,.5108896424337661,.4891103575662338,11.8,3.5,9.199999999999999,35.7,78.8,16.7,6.8,42.3,104.5,60.9,26.8,34.1
310M100US10140,10140,2012,71692,.5120376053116108,.4879623946883892,11.6,3.9,7.7,35.5,78.8,17.5,7,42.6,104.9,63,28.5,34.5
310M200US10140,10140,2013,71078,.5109457216016208,.4890542783983792,11.8,4,8.5,36.3,79.40000000000001,18.3,7.5,42.3,104.5,63.8,30,33.7
310M200US10140,10140,2014,70818,.5102375102375102,.4897624897624898,12.2,3.2,7.9,33.2,79.3,18.9,7.2,44.1,104.2,65.7,31.4,34.3
310M200US10140,10140,2015,71122,.5173082871685273,.4826917128314727,11.5,4,8.9,35.2,79.3,19.6,7.4,43.2,107.2,67.40000000000001,32.7,34.6
310M300US10140,10140,2016,71628,.5268470430557882,.4731529569442118,11.5,3.6,6.8,34,79.59999999999999,20.1,7.7,43.9,111.3,68.2,33.9,34.3
3100000US10180,10180,2006,158548,.4977167797764715,.5022832202235286,13.7,4.3,12.7,42.7,74.8,13.6,6.8,34.4,99.09999999999999,63.5,22.2,41.2
3100000US10180,10180,2007,159439,.4977765791305766,.5022234208694234,13.5,4.2,13,42.9,75.3,13.6,6.7,34.9,99.09999999999999,62.2,22.1,40.1
3100000US10180,10180,2008,160012,.5023810714196435,.4976189285803565,13.1,4,12.8,43,75.40000000000001,13.3,6.6,34.6,101,61,21.5,39.5
3100000US10180,10180,2009,160266,.4922691026168994,.5077308973831006,12.6,3.7,13.2,42.8,76,13.3,6.7,33.2,97,59.5,21.2,38.3
310M100US10180,10180,2010,164941,.5013550299804173,.4986449700195827,12.9,3.6,13.2,42.4,76.5,13.4,6.5,34.9,100.5,58.4,21.2,37.2
310M100US10180,10180,2011,165858,.5073315727911828,.4926684272088172,12.4,4,12.8,42.4,76.7,13.5,6.5,35.2,103,58.1,21.3,36.8
310M100US10180,10180,2012,167800,.5142193087008343,.4857806912991657,13,3.6,13.4,42.6,76.40000000000001,13.9,6.3,33.7,105.9,60.2,22.3,37.9
310M200US10180,10180,2013,168144,.5078147302312304,.4921852697687696,12.9,3.9,14.1,44.1,76.59999999999999,14.3,6.6,33.7,103.2,60.6,23,37.6
310M200US10180,10180,2014,166900,.5147633313361294,.4852366686638706,13,3.6,13.3,42.8,76.90000000000001,14.5,6.7,34,106.1,60.4,23.3,37.1
310M200US10180,10180,2015,168922,.5038538497057814,.4961461502942187,12.9,3.7,13.7,42.8,76.8,14.2,6.4,34.1,101.6,59.8,22.7,37.1
310M300US10180,10180,2016,170860,.5118752194779351,.4881247805220649,13.6,3.5,12.3,42.3,76.59999999999999,15.3,6.6,34.4,104.9,63.2,24.9,38.3
3100000US10300,10300,2006,102191,.497499779824055,.5025002201759451,12.6,5,9.6,41.3,76.40000000000001,13.5,6.7,38.1,99,59,21.5,37.5
3100000US10300,10300,2007,101243,.4973578420236461,.5026421579763539,12.8,4.6,9.4,40.8,76.59999999999999,13.4,6.7,37.7,98.90000000000001,58.3,21.2,37.1
3100000US10300,10300,2008,100801,.50337794267914,.4966220573208599,12.2,4.5,10.1,40.7,77.2,14,6.6,38,101.4,58.2,22.2,36.1
3100000US10300,10300,2009,99837,.4991235714214169,.5008764285785831,13.2,4.2,9.800000000000001,38,76.8,14.2,6.4,40.1,99.7,59.7,22.7,37
310M100US10300,10300,2010,99763,.5033228752142578,.4966771247857422,13.6,4,8.9,37.2,76.8,14.8,6.7,40,101.3,61.5,24,37.5
310M100US10300,10300,2011,99440,.5060740144810941,.4939259855189059,12,4.7,10.2,38.3,77.90000000000001,15.1,7,40.6,102.5,59.3,24.1,35.2
310M100US10300,10300,2012,98987,.5101073878388072,.4898926121611929,12.7,4.1,10.1,37.1,77.7,15.6,6.9,40.9,104.1,61.1,25.2,35.9
310M200US10300,10300,2013,99188,.5109489051094891,.489051094890511,12.3,3.9,9.9,37.5,77.90000000000001,15.8,6.7,40.8,104.5,61,25.5,35.5
310M200US10300,10300,2014,99047,.5063454723515098,.4936545276484901,12.4,4.3,10,37,78.09999999999999,16.6,6.9,41,102.6,62.6,27,35.6
310M200US10300,10300,2015,98573,.5017195378044698,.4982804621955302,11.9,3.9,9.699999999999999,36.9,78.40000000000001,17.4,7.2,41,100.7,63.9,28.5,35.4
310M300US10300,10300,2016,98504,.5098371639730366,.4901628360269634,12.1,4.3,9.199999999999999,36.9,78.5,17.5,6.8,42.1,104,64,28.7,35.3
3100000US10380,10380,2006,336502,.4953492104058817,.5046507895941184,14.8,4.4,10.3,42.5,74.59999999999999,12.8,5.3,35.3,98.2,61.9,20.8,41.2
3100000US10380,10380,2007,335201,.4874776626561377,.5125223373438623,14.5,4.5,10,42.1,75.40000000000001,13.1,5.4,36,95.09999999999999,60.4,21,39.4
3100000US10380,10380,2008,339193,.4926546243584036,.5073453756415964,14.7,4.2,9.699999999999999,42.1,76,13.8,5.8,36.4,97.09999999999999,60.7,22.2,38.6
3100000US10380,10380,2009,342495,.4979050789062614,.5020949210937385,13.6,4.5,11.2,41.8,76.59999999999999,14.1,6,36.7,99.2,60,22.6,37.4
310M100US10380,10380,2010,305988,.4887773376733728,.5112226623266272,13.2,4.6,9.9,40.5,76.3,14.4,5.6,38.5,95.59999999999999,61.7,23.4,38.4
310M100US10380,10380,2011,304633,.4864082354833521,.5135917645166479,13.3,4.5,10,40,76.5,15.3,6.1,38.3,94.7,63.5,25.1,38.4
310M100US10380,10380,2012,304727,.4959849307741027,.5040150692258972,13.3,4.3,10.5,39.7,76.8,15.7,6.2,38.5,98.40000000000001,63.8,25.8,38
310M200US10380,10380,2013,327847,.4873828340658905,.5126171659341096,12.7,4.5,11.3,39.6,77.59999999999999,16.7,6.6,39.1,95.09999999999999,64.2,27.4,36.8
310M200US10380,10380,2014,322079,.493785686120486,.506214313879514,12.9,4.1,10.1,38.9,78.5,17.7,7,40.3,97.5,64.5,29.1,35.4
310M200US10380,10380,2015,313209,.4875019555632182,.5124980444367818,12.1,4.1,10,38.6,79.3,18.6,7.5,41.6,95.09999999999999,64.7,30.6,34.2
310M300US10380,10380,2016,309764,.4961680505158766,.5038319494841234,11.7,4.1,9.6,39,79.8,18.8,7.4,40.7,98.5,64,30.9,33.1
3100000US10420,10420,2006,700943,.4816639869433035,.5183360130566965,13.2,4.2,10.1,40.8,76.59999999999999,13.3,6.7,37.9,92.90000000000001,57.9,21,36.9
3100000US10420,10420,2007,699356,.4849118331722327,.5150881668277673,13.1,4.2,10,40.4,76.8,13.4,6.7,38.3,94.09999999999999,57.8,21.2,36.6
3100000US10420,10420,2008,698553,.4832732806243764,.5167267193756236,12.7,4.3,10.2,40.2,77.09999999999999,13.6,6.6,38.8,93.5,57.4,21.4,36.1
3100000US10420,10420,2009,699935,.4822704965461079,.5177295034538921,12.5,4.1,10.4,39.7,77.59999999999999,13.9,6.8,39.3,93.2,57.1,21.9,35.2
310M100US10420,10420,2010,702951,.4859940451041396,.5140059548958604,12.5,4.2,10.6,39.1,77.7,14.3,7,39.7,94.59999999999999,57.7,22.6,35.1
310M100US10420,10420,2011,701456,.484463743983942,.515536256016058,12.3,4,10.8,39,78,14.4,6.9,39.9,94,57.1,22.7,34.5
310M100US10420,10420,2012,702262,.4843192426758104,.5156807573241895,12.2,4,10.9,38.9,78.40000000000001,15,6.9,40.1,93.90000000000001,57.6,23.6,34
310M200US10420,10420,2013,705686,.4854907140002778,.5145092859997222,11.7,4,11.3,39,78.8,15.3,6.9,40.1,94.40000000000001,57.6,24.2,33.5
310M200US10420,10420,2014,703825,.4852101019429546,.5147898980570454,11.8,4,10.8,38.9,78.90000000000001,15.8,7,40.2,94.3,58.6,25.1,33.5
310M200US10420,10420,2015,704243,.485402055824481,.514597944175519,11.6,4,10.5,38.5,79,16.2,7,40.4,94.3,59.2,25.8,33.4
310M300US10420,10420,2016,702221,.4858869216386295,.5141130783613705,11.5,3.8,10.6,38.3,79.3,16.7,7.1,40.2,94.5,59.7,26.6,33
310M100US10460,10460,2011,65703,.5215591373301067,.4784408626698933,13.3,3.8,10.9,38.3,75.59999999999999,15.1,5.4,36.1,109,65.2,24.9,40.4
310M100US10460,10460,2012,66041,.5139231689405066,.4860768310594933,14.1,2.9,10.9,38.8,75.3,14.9,6.1,36.4,105.7,65.5,24.7,40.8
310M200US10460,10460,2013,65616,.5132132406730066,.4867867593269934,13.2,3.5,12.6,39.9,76.3,16.2,6.5,35.9,105.4,66.5,27,39.5
310M200US10460,10460,2014,65082,.5066685104944532,.4933314895055468,13.6,3.3,10.2,38.1,75.40000000000001,15.9,6.5,36.1,102.7,68.2,26.8,41.4
310M200US10460,10460,2015,64362,.5054535284795376,.4945464715204624,13.9,2.9,11.2,40.3,76.3,16.6,7,36.3,102.2,67.59999999999999,27.9,39.7
310M300US10460,10460,2016,65410,.5045253019415992,.4954746980584008,12.5,4.1,10.3,40.2,76.40000000000001,16.8,7.4,35.8,101.8,67.7,28.1,39.6
3100000US10500,10500,2006,165062,.4760150731240382,.5239849268759618,15,4.9,11,41.6,72.3,11.5,5.3,34.3,90.8,64.5,19,45.6
3100000US10500,10500,2007,162767,.480711692173475,.519288307826525,14.7,4.9,11.4,41.4,72.7,11.9,5.3,35.2,92.59999999999999,64.40000000000001,19.6,44.9
3100000US10500,10500,2008,163074,.4790647190845874,.5209352809154126,13.8,4.9,11,40.4,74,12.8,5.8,36.1,92,63.3,20.9,42.4
3100000US10500,10500,2009,164238,.4760104238970275,.5239895761029725,14.2,4.9,11.9,41.9,73.5,12,5.1,34.4,90.8,62.7,19.5,43.2
310M100US10500,10500,2010,162659,.4776680048444906,.5223319951555094,14,4.7,10.5,40.4,74.3,12.5,5.2,35.8,91.40000000000001,61.8,20.3,41.5
