GEOID,MSA,year,pop15up,pct15up_married,pct15up_widowed,pct15up_divorced,pct15up_separated,pct15up_nevermar,pct15up_married_m,pct15up_widowed_m,pct15up_divorced_m,pct15up_separated_m,pct15up_nevermar_m,pct15up_married_f,pct15up_widowed_f,pct15up_divorced_f,pct15up_separated_f,pct15up_nevermar_f
3100000US10140,10140,2006,58570,51.8,7,11,1.3,29,50.7,2.6,11.9,.9,33.9,52.9,11.4,10,1.7,24
3100000US10140,10140,2007,58641,46.3,7.1,15.2,3,28.4,44.4,2.7,15.3,3.9,33.8,48.2,11.5,15.1,2.1,23
3100000US10140,10140,2008,58449,51.4,7.5,14.7,2.7,23.8,47.9,3.5,13.9,3.1,31.5,54.9,11.5,15.5,2.3,15.8
3100000US10140,10140,2009,58661,45.2,6.6,17.9,1.9,28.4,46.2,1.5,16.9,1.2,34.3,44.1,11.8,19,2.5,22.5
310M100US10140,10140,2010,60202,49.9,5.6,13.2,2.4,28.9,48.8,1.8,12.9,2,34.5,51.1,9.6,13.6,2.7,23
310M100US10140,10140,2011,59730,45.7,7.9,14.7,2.2,29.4,43.3,4.6,14.6,1.5,35.9,48.2,11.5,14.9,2.8,22.6
310M100US10140,10140,2012,59303,47.9,6,16.7,2.5,26.8,47.2,3.3,14.6,2.8,32.1,48.7,8.800000000000001,19,2.3,21.2
310M200US10140,10140,2013,,,,,,,,,,,,,,,,
310M200US10140,10140,2014,,,,,,,,,,,,,,,,
310M200US10140,10140,2015,,,,,,,,,,,,,,,,
310M300US10140,10140,2016,,,,,,,,,,,,,,,,
3100000US10180,10180,2006,125399,50.9,7.8,10.9,1.9,28.4,54.5,2.7,10.6,1.9,30.4,47.3,12.9,11.3,2,26.4
3100000US10180,10180,2007,126705,53.5,7,11.3,1.6,26.6,54.8,2.1,10.1,1.5,31.4,52.2,11.7,12.5,1.7,22
3100000US10180,10180,2008,127138,50.7,6.6,11.8,2.1,28.8,52.8,2.2,10.9,2.6,31.5,48.6,10.9,12.7,1.7,26.1
