GEOID,MSA,year,pct_enroll_public,pct_enroll_private,pct5_9_enroll,pct10_14_enroll,pct15_17_enroll,pct18_19_enroll
3100000US10140,10140,2006,93.5,6.5,92.5,95.5,90.90000000000001,74.2
3100000US10140,10140,2007,90.7,9.300000000000001,93.5,99.2,88.09999999999999,50.5
3100000US10140,10140,2008,92.7,7.3,26.9,95.09999999999999,100,99
3100000US10140,10140,2009,93.90000000000001,6.1,59.1,92.7,95.7,95.5
310M100US10140,10140,2010,93.3,6.7,92.8,100,100,58.3
310M100US10140,10140,2011,95.09999999999999,4.9,88.5,100,98.59999999999999,48.8
310M100US10140,10140,2012,93.09999999999999,6.9,94.09999999999999,96.8,96.5,39.8
310M200US10140,10140,2013,90.2,9.800000000000001,89.3,96.5,95.59999999999999,54.9
310M200US10140,10140,2014,93.3,6.7,99.3,100,99.7,57.6
310M200US10140,10140,2015,93.90000000000001,6.1,94.40000000000001,100,93,75
310M300US10140,10140,2016,94.09999999999999,5.9,93.2,99.59999999999999,91.09999999999999,39.2
3100000US10180,10180,2006,76.40000000000001,23.6,89.5,99.59999999999999,94.40000000000001,86.3
3100000US10180,10180,2007,74.59999999999999,25.4,94.2,87.8,90.59999999999999,79.8
3100000US10180,10180,2008,75.8,24.2,36.1,95,94.7,88.90000000000001
3100000US10180,10180,2009,73.2,26.8,36.8,91.2,92.7,93.7
310M100US10180,10180,2010,76.09999999999999,23.9,91.8,99.2,97.90000000000001,76.2
310M100US10180,10180,2011,78,22,95.7,98.90000000000001,98.09999999999999,85.5
310M100US10180,10180,2012,76.90000000000001,23.1,95.40000000000001,99.40000000000001,95.40000000000001,78.7
310M200US10180,10180,2013,79.3,20.7,97.2,98.5,99.59999999999999,73.7
310M200US10180,10180,2014,77,23,95.5,99,96.7,74.7
310M200US10180,10180,2015,74.5,25.5,93.7,96.90000000000001,97.09999999999999,69.09999999999999
310M300US10180,10180,2016,75.3,24.7,95,97.3,98.40000000000001,68.09999999999999
3100000US10300,10300,2006,82.8,17.2,94.3,99.5,94.59999999999999,72.5
3100000US10300,10300,2007,81.3,18.7,95,99.3,97.59999999999999,79.40000000000001
3100000US10300,10300,2008,80.3,19.7,38.1,89.2,97.8,97.3
