GEOID,MSA,year,poor,poor_black,poor_indian,poor_asian,poor_hawaiian,poor_other,poor_mixed,poor_hispanic,poor_white
3100000US10140,10140,2006,17.8,,,,,,,,17.2
3100000US10140,10140,2007,12.3,,13.4,,,,,,12.8
3100000US10140,10140,2008,13.6,,29.3,,,,,23.5,11.5
3100000US10140,10140,2009,19.9,,25.6,,,,,41.8,17.8
310M100US10140,10140,2010,17.2,,,,,,,54.3,13
310M100US10140,10140,2011,21.4,,31.9,,,,,59.6,16
310M100US10140,10140,2012,20.9,,45.8,,,,,56.4,15.8
310M200US10140,10140,2013,18.1,,32.3,,,,,24.9,15.9
310M200US10140,10140,2014,19,,27.5,,,,,29.3,17.2
310M200US10140,10140,2015,14,,32.6,,,,,,11.7
310M300US10140,10140,2016,12.6,,25,,,,,15.2,12.3
3100000US10180,10180,2006,15.8,,,,,,,27.1,11.6
3100000US10180,10180,2007,15.1,42.1,,,,20.7,,21.8,10.6
3100000US10180,10180,2008,16.1,38.2,,,,12.3,,25.4,11.2
3100000US10180,10180,2009,14.5,11.9,,,,23.9,925,26.1,10.4
310M100US10180,10180,2010,18,45.5,,,,19.3,14.5,22.7,14.3
310M100US10180,10180,2011,16.9,16.9,,,,22.5,27.9,20.6,15
310M100US10180,10180,2012,20.5,49.6,,,,23.1,,24.8,16
310M200US10180,10180,2013,16.8,19.2,,,,39.3,13,30.1,12.2
310M200US10180,10180,2014,16.5,32.3,,,,26.5,,19.9,13.5
310M200US10180,10180,2015,13.9,19.8,,,,30.8,11,21.9,11.1
310M300US10180,10180,2016,17.2,25.5,,,,20.4,,22,14.6
3100000US10300,10300,2006,10.8,,,,,,,,9.9
3100000US10300,10300,2007,11.1,,,,,,,22.7,9.9
3100000US10300,10300,2008,14.6,,,,,,,46.5,12.1
3100000US10300,10300,2009,14,,,,,,,33.4,11.9
310M100US10300,10300,2010,14.4,,,,,,,37.5,12.3
310M100US10300,10300,2011,12.8,,,,,,,40.9,10.4
310M100US10300,10300,2012,12.8,,,,,,,30.9,11.3
310M200US10300,10300,2013,17.1,,,,,,,28.3,16
310M200US10300,10300,2014,15,,,,,,,24.5,12.9
310M200US10300,10300,2015,15.1,,,,,,,32.1,12.2
310M300US10300,10300,2016,12.5,,,,,,,13.9,12.3
3100000US10380,10380,2006,57,,,,,61.9,,57.2,
3100000US10380,10380,2007,57.6,67.8,,,,57,4995,57.8,48.4
3100000US10380,10380,2008,54.5,50.5,,,,61.1,2766,54.8,49.1
3100000US10380,10380,2009,55.4,75.8,,,,60.9,4571,55.7,42.6
310M100US10380,10380,2010,53.8,65.5,,,,56.7,53.7,53.7,56.5
310M100US10380,10380,2011,54,44.7,,,,64.40000000000001,50.4,54.2,
310M100US10380,10380,2012,53.7,49.4,,,,66,49.8,54,
310M200US10380,10380,2013,53.8,62,,,,53.6,56.4,54,
310M200US10380,10380,2014,53.4,52.7,,,,53.8,42.6,53.8,
310M200US10380,10380,2015,53.7,55.2,,,,53.8,52.3,53.7,57
310M300US10380,10380,2016,54.1,63.7,,,,57.4,56.6,54.6,
3100000US10420,10420,2006,12.7,25.5,,,,,,,10.4
3100000US10420,10420,2007,13.4,36.3,,3.1,,,1702,30.1,10
3100000US10420,10420,2008,12.1,28.8,,20.9,,,1984,15.6,9.5
3100000US10420,10420,2009,14.7,33.4,,19.5,,,2900,21.9,11.5
310M100US10420,10420,2010,15.5,31,,32.3,,,25.5,27,12.5
310M100US10420,10420,2011,16.6,34.1,,14.9,,,38.8,34.2,13.3
310M100US10420,10420,2012,15.7,38.1,,24.7,,,42.8,16.7,11.5
310M200US10420,10420,2013,15.4,34.9,,12,,,35.3,10.5,12.1
310M200US10420,10420,2014,13.3,31.8,,14.3,,,32.3,17.2,9.9
310M200US10420,10420,2015,14.2,34.4,,15.9,,,30.8,21.4,10.6
310M300US10420,10420,2016,13.8,28.3,,24.2,,,32,31,10.2
310M100US10460,10460,2011,18.3,,34.9,,,,,30.5,9.1
310M100US10460,10460,2012,28,,51.6,,,50.5,,48,11.8
310M200US10460,10460,2013,21.9,,29.8,,,,,36.3,13.4
310M200US10460,10460,2014,20.4,,35,,,,,31.4,12.9
310M200US10460,10460,2015,26.8,,44.2,,,,,39.2,14.5
310M300US10460,10460,2016,21.4,,24.5,,,,,33.6,12.5
3100000US10500,10500,2006,22.8,36.9,,,,,,,8.199999999999999
3100000US10500,10500,2007,21.5,31.6,,,,,,46.7,8.800000000000001
3100000US10500,10500,2008,23.3,35.4,,,,,,,10.3
3100000US10500,10500,2009,23.2,34.2,,,,,,38.8,9.800000000000001
310M100US10500,10500,2010,27.7,41.1,,,,,,,11.1
310M100US10500,10500,2011,28.4,39,,,,,,,13.9
310M100US10500,10500,2012,26.9,41.2,,,,,,,10.8
310M200US10500,10500,2013,24.9,31.6,,,,,,55.9,15.7
310M200US10500,10500,2014,25.3,37.2,,,,,,28.1,10.2
310M200US10500,10500,2015,24.6,35.1,,,,,,,12.9
310M300US10500,10500,2016,25,32.9,,,,,,,14.5
3100000US10540,10540,2006,16.8,,,,,,,,15.8
3100000US10540,10540,2007,14,,,,,,,17.6,13.4
3100000US10540,10540,2008,14.1,,,,,,,29.2,12.1
3100000US10540,10540,2009,15,,,,,,,31.1,12.4
310M100US10540,10540,2010,18.7,,,,,,,46.3,16.2
310M100US10540,10540,2011,20.7,,,,,,,50.9,18.1
310M100US10540,10540,2012,18.1,,,,,,,21,17
310M200US10540,10540,2013,20.5,,,,,,,25.5,18.9
310M200US10540,10540,2014,20.3,,,,,,27.9,44.2,17.8
310M200US10540,10540,2015,15.9,,,,,,,41.3,13.6
310M300US10540,10540,2016,12.4,,,,,,17.1,13,12.2
3100000US10580,10580,2006,9.800000000000001,29.8,,,,,,23.6,7.8
3100000US10580,10580,2007,10.1,33.3,,13.4,,,5762,24.6,7.4
3100000US10580,10580,2008,10.5,26.7,,11.7,,39.1,4659,32.3,7.9
3100000US10580,10580,2009,9.9,27,,16.3,,,3321,23.5,7.6
310M100US10580,10580,2010,11.5,28.9,,20.7,,21,28.8,31.6,8.199999999999999
310M100US10580,10580,2011,11.5,30.1,,22.2,,34.6,24.1,29,8.1
310M100US10580,10580,2012,11,27.9,,15.9,,34.9,23.8,24.2,8.199999999999999
310M200US10580,10580,2013,12.5,34,,20.6,,26.5,19.2,31.8,9.1
310M200US10580,10580,2014,11.7,28.4,,19.3,,23.8,33.7,25,8.6
310M200US10580,10580,2015,10.2,25.5,,8.699999999999999,,17.4,29.4,24.5,7.7
310M300US10580,10580,2016,9.9,27.4,,7.2,,21.8,22.9,27.3,7.5
3100000US10700,10700,2006,18.7,,,,,,,,16.6
3100000US10700,10700,2007,23,,,,,,,55.4,18.7
3100000US10700,10700,2008,20.5,,,,,,,45.6,15.9
3100000US10700,10700,2009,20.1,,,,,,,38.3,17.4
310M100US10700,10700,2010,19.6,,,,,,,27.5,17.9
310M100US10700,10700,2011,18.9,,,,,,,53.4,13.5
310M100US10700,10700,2012,23.2,66.59999999999999,,,,,,66.8,15.4
310M200US10700,10700,2013,16.2,,,,,,,,15.8
310M200US10700,10700,2014,23.8,,,,,56.5,,52.2,19.2
310M200US10700,10700,2015,20.9,,,,,,,47,16.3
310M300US10700,10700,2016,23.4,,,,,,,65.5,15.6
3100000US10740,10740,2006,14.9,26.1,26.9,,,21.2,4363,19.6,8.6
3100000US10740,10740,2007,14.6,17.1,21.3,5.8,,16.6,4942,18.8,9.5
3100000US10740,10740,2008,14.5,35.2,27.6,6.8,,19.9,2393,18.6,8.199999999999999
3100000US10740,10740,2009,15.9,25.8,23.8,11.5,,23.5,4865,19.9,10
310M100US10740,10740,2010,17.2,19.9,23,14.9,,27.8,17.3,23,10
310M100US10740,10740,2011,20.4,21.6,36.9,17.1,,34.6,21.1,26,12.3
310M100US10740,10740,2012,18.5,29.6,30.5,10.3,,27.6,22.6,23.4,11.5
310M200US10740,10740,2013,19.4,23.4,35.5,8.800000000000001,,26.8,21.3,24.4,11.8
310M200US10740,10740,2014,19.2,18.6,29,12.4,,32.8,23.3,23.6,13.1
310M200US10740,10740,2015,18.7,33.2,28.9,7.7,,27.8,20.2,23.2,11.7
310M300US10740,10740,2016,16.9,16.6,27.5,8.9,,25.2,14.4,20.6,11
3100000US10780,10780,2006,20.2,32.1,,,,,,,14.9
3100000US10780,10780,2007,19.3,34.1,,,,,,18.2,12.7
3100000US10780,10780,2008,17.9,30.1,,,,,,30.1,12.8
3100000US10780,10780,2009,14.1,25.9,,,,,,,9.800000000000001
310M100US10780,10780,2010,19.5,36.1,,,,,,,13.3
310M100US10780,10780,2011,23.2,35.8,,,,,,,16.7
310M100US10780,10780,2012,21.9,37.5,,,,,,,15.5
310M200US10780,10780,2013,18.7,27,,,,,,,13.3
310M200US10780,10780,2014,19.6,31.8,,,,,,,14.4
310M200US10780,10780,2015,22,37,,,,,,28.8,14.2
310M300US10780,10780,2016,19.7,34.5,,,,,,,12.3
3100000US10880,10880,2006,9.300000000000001,,,,,,,,7.9
3100000US10880,10880,2007,11,,,,,25.8,,27.9,9.800000000000001
3100000US10880,10880,2008,13,,,,,,,32.1,11.6
3100000US10880,10880,2009,11.2,,,,,,,14,10.7
310M100US10880,10880,2010,16.3,,,,,,,29.5,14.9
310M100US10880,10880,2011,12.5,,,,,,,34.1,10.4
310M100US10880,10880,2012,14.2,,,,,,28.1,28,12.2
3100000US10900,10900,2006,9.9,18.2,,,,32.3,,28.3,7.4
3100000US10900,10900,2007,8,21.2,,3.3,,29.8,1539,23.3,5.6
3100000US10900,10900,2008,9,13.5,,5,,28.9,2805,28.3,6.2
3100000US10900,10900,2009,10.2,23.2,,8.1,,37.9,2637,26.8,7
310M100US10900,10900,2010,11.7,22.9,,3.4,,42.7,22.4,33,7.9
310M100US10900,10900,2011,11.8,29.1,,9.9,,33.3,27.1,35.2,7
