GEOID,MSA,year,num_fam,poor_fam,poor_fam_kid18,num_fam_singlemom_kid18,poor_fam_singlemom_kid18,famhead_worked_full,fam_cash_assist,fam_social_sec
3100000US10140,10140,2006,19173,16.8,23.3,3203,50.1,6383,1547,5944
3100000US10140,10140,2007,17988,8.4,14.5,1811,29.7,7287,2295,6258
3100000US10140,10140,2008,18220,9.199999999999999,17.6,2082,36.8,7746,2132,5209
3100000US10140,10140,2009,17200,13.2,20.7,1813,42.5,6588,2171,5480
310M100US10140,10140,2010,17908,10.4,20.6,2328,39.8,7420,2360,6513
310M100US10140,10140,2011,16523,13.5,25.1,1403,41,5830,1539,6416
310M100US10140,10140,2012,17482,12.9,27.1,2137,48.1,7183,1489,6838
310M200US10140,10140,2013,17709,10.8,15.5,1860,34.4,7712,1375,7106
310M200US10140,10140,2014,17680,13.3,26.2,2699,52.9,7085,1410,7190
310M200US10140,10140,2015,16854,7.2,15,1953,33.3,7166,1193,7121
310M300US10140,10140,2016,17626,8.300000000000001,15.6,1468,45.1,7485,1591,7105
3100000US10180,10180,2006,39603,11.1,17,5773,38.3,21720,1797,10021
3100000US10180,10180,2007,40314,10,15.3,4474,44.5,20764,2062,11096
3100000US10180,10180,2008,39535,12.2,18.1,5325,48.8,23260,1738,9568
3100000US10180,10180,2009,38505,9.4,14.6,5395,31.5,22940,1575,11270
310M100US10180,10180,2010,39268,13.5,20.4,5957,44.5,21550,2962,10995
310M100US10180,10180,2011,36644,11.3,15.4,4429,35,18235,2771,10165
310M100US10180,10180,2012,39268,14.1,21.9,5076,41.8,21341,2950,10503
310M200US10180,10180,2013,39532,11.5,18.9,4544,54.5,20759,2852,10827
310M200US10180,10180,2014,41437,12.7,21.7,4983,41.9,22603,2685,11721
310M200US10180,10180,2015,37669,9.9,17,5065,46.8,21815,2256,9700
310M300US10180,10180,2016,38610,10.9,16.7,5395,34.8,20918,2577,11440
3100000US10300,10300,2006,26112,7,13.2,2455,40.4,13680,1676,7454
3100000US10300,10300,2007,28258,8.6,13.9,2976,31.6,13342,1422,6948
3100000US10300,10300,2008,25555,8.699999999999999,13.6,2388,47,13690,1413,7079
3100000US10300,10300,2009,26485,10.2,18.9,2415,38,11073,1972,7814
310M100US10300,10300,2010,24732,9.9,17.6,3326,39.1,10291,2051,7870
310M100US10300,10300,2011,25860,9.300000000000001,14.8,2961,40.3,11389,1727,8663
310M100US10300,10300,2012,25559,8.4,14.8,2668,36.1,12386,1925,8648
310M200US10300,10300,2013,24001,11.8,20.4,2646,53.3,11269,1498,7749
310M200US10300,10300,2014,25712,10.8,20.8,3384,42.5,11828,2745,8655
310M200US10300,10300,2015,23818,9,17.7,3043,37.8,10899,2200,9000
310M300US10300,10300,2016,24925,9.6,15.1,2724,37,12407,1675,8896
3100000US10380,10380,2006,75896,53.8,62.8,11783,81.90000000000001,20904,3960,30258
3100000US10380,10380,2007,74854,53.8,57.8,11335,77,20598,3889,29602
3100000US10380,10380,2008,69579,53.2,59.7,11089,79.3,21355,2798,29311
3100000US10380,10380,2009,70276,51.3,60.9,9841,78.8,20165,5459,30734
310M100US10380,10380,2010,81161,48.7,58.3,13714,70.3,23526,4672,33933
310M100US10380,10380,2011,76759,50.9,57.5,12647,75.09999999999999,21604,3592,32222
310M100US10380,10380,2012,71411,47.8,61.5,10424,79.8,18743,3432,29267
310M200US10380,10380,2013,83792,50.4,60.4,14555,80.40000000000001,18684,5573,37693
310M200US10380,10380,2014,79418,50,61.7,12484,74.40000000000001,21044,7998,36134
310M200US10380,10380,2015,77085,51.2,58.8,12646,84.8,16575,5702,33275
310M300US10380,10380,2016,78013,49.5,61.2,13511,80.8,17986,5670,34202
3100000US10420,10420,2006,180771,8.800000000000001,14.2,21927,41.8,94683,9188,45323
3100000US10420,10420,2007,181308,9.300000000000001,16.7,22473,46.3,92295,9826,44682
3100000US10420,10420,2008,179399,8.800000000000001,15.7,23262,40,99758,10220,41893
3100000US10420,10420,2009,177835,10.2,18.9,24239,46.2,97082,12748,43732
310M100US10420,10420,2010,177924,10.7,18.1,22157,41.7,91462,15548,47073
310M100US10420,10420,2011,174614,11.8,20.4,25081,42.7,88449,16790,48257
310M100US10420,10420,2012,175146,11.6,20.3,23283,51.4,88090,17039,49658
310M200US10420,10420,2013,174621,10.6,17.9,22727,45.2,89611,13166,47922
310M200US10420,10420,2014,177332,9.5,17.1,23759,41.5,90071,15936,50541
310M200US10420,10420,2015,177764,10.2,18.7,22499,46,93039,17107,51582
310M300US10420,10420,2016,177273,9.800000000000001,17.6,22443,39.4,89425,14696,51998
310M100US10460,10460,2011,16978,13.3,19.7,2420,38.3,8560,1664,5130
310M100US10460,10460,2012,16605,22.3,35.2,1814,65,7634,2050,5306
310M200US10460,10460,2013,14363,15.3,30.1,1916,59.9,6494,1824,4871
310M200US10460,10460,2014,15233,17.3,26.6,1993,41.6,7030,826,5264
310M200US10460,10460,2015,14185,20.1,40.7,1898,68.7,6429,1380,4339
310M300US10460,10460,2016,14135,15.1,24.6,1719,60.7,6653,779,5276
3100000US10500,10500,2006,42965,17.8,24.3,10849,49.4,21974,3106,11687
3100000US10500,10500,2007,39307,16.3,25.5,7910,48.8,19567,1710,10264
3100000US10500,10500,2008,40862,17.2,25.2,9090,48.9,22757,2289,11373
3100000US10500,10500,2009,40280,18.1,31.2,8786,51.6,19306,2946,12288
310M100US10500,10500,2010,40521,21.3,33.9,9721,48.7,18945,4996,11156
310M100US10500,10500,2011,38591,22.7,32.7,7824,50.3,18855,4089,11988
310M100US10500,10500,2012,38251,21.6,33.6,8454,56.9,18483,4152,10941
310M200US10500,10500,2013,37368,21.8,27.2,8632,46.7,18921,4030,10081
310M200US10500,10500,2014,39263,19.2,33.6,8112,57,19419,4449,11215
310M200US10500,10500,2015,37713,19.4,28.5,8549,53.7,19916,4061,11341
310M300US10500,10500,2016,37985,22.1,32.5,8985,46.9,19832,4232,12244
3100000US10540,10540,2006,29336,12.2,20,3574,58.5,12204,2061,8834
3100000US10540,10540,2007,31457,11.2,20.6,3923,45.8,14146,1383,8838
3100000US10540,10540,2008,28936,9.800000000000001,18.1,3015,39.5,13655,1382,8013
3100000US10540,10540,2009,30673,10.4,15.4,3311,29.3,12023,1491,9167
310M100US10540,10540,2010,30470,13.6,23.8,3655,50.9,13124,2878,10100
310M100US10540,10540,2011,30248,15.3,30.9,4088,59.9,11868,2286,9444
310M100US10540,10540,2012,30562,11.6,20.7,2053,53.5,13467,2436,10069
310M200US10540,10540,2013,29589,13,25.2,4529,53.2,11550,3627,9638
310M200US10540,10540,2014,31410,15.3,27.6,3614,43.1,12304,3036,10581
310M200US10540,10540,2015,31455,12.2,18,4023,32.1,12557,2884,10364
310M300US10540,10540,2016,30793,7.4,11.6,3410,29.6,14628,2144,10801
3100000US10580,10580,2006,210047,6.3,11,28785,27.3,110571,8812,51283
3100000US10580,10580,2007,208266,6.1,10.3,24772,31.4,110650,9067,53511
3100000US10580,10580,2008,209247,6.3,11.1,24606,30.3,120627,8673,52016
3100000US10580,10580,2009,210286,5.7,9.6,23530,28.4,116149,8857,57180
310M100US10580,10580,2010,208265,8.199999999999999,14.6,23980,38.1,114522,11151,53511
310M100US10580,10580,2011,209875,7.9,15.3,25621,40,112472,14070,54792
310M100US10580,10580,2012,203507,6.7,11.8,22109,34.2,111293,12387,57582
310M200US10580,10580,2013,210614,8.4,14.8,23128,38.1,108950,17647,60823
310M200US10580,10580,2014,208301,7.7,14.3,24945,37.1,108890,14678,60830
310M200US10580,10580,2015,204094,6.5,12,20965,37.4,110782,12270,61675
310M300US10580,10580,2016,204483,6.2,10.8,24905,27.1,112619,12063,60469
3100000US10700,10700,2006,22767,13.3,20.6,2484,65.3,11300,2040,6020
3100000US10700,10700,2007,24210,18.7,31.9,3194,50.6,11521,1219,7025
3100000US10700,10700,2008,23355,14.4,24.4,2373,57.2,12634,992,7046
3100000US10700,10700,2009,22131,16.2,22.1,2994,51.2,11735,1715,5996
310M100US10700,10700,2010,24164,14.7,27.3,2907,64.59999999999999,11841,1182,6219
310M100US10700,10700,2011,24660,14.2,22.4,2431,38.8,11563,1964,8287
310M100US10700,10700,2012,23808,17.1,31.4,2631,65.40000000000001,11876,1454,7891
310M200US10700,10700,2013,24447,12.1,20.9,3208,44.5,10195,1394,8052
310M200US10700,10700,2014,24220,18.7,31,2925,41.3,12868,1079,8056
310M200US10700,10700,2015,23961,14.4,29.9,2713,73.2,10726,1434,8108
310M300US10700,10700,2016,23208,18.5,34.2,2714,71.7,10855,2100,8440
3100000US10740,10740,2006,199295,11.1,18.9,27765,42.1,101565,9547,45122
3100000US10740,10740,2007,203872,11.2,18.1,31219,41.7,100600,11757,51181
3100000US10740,10740,2008,207906,10.3,15.7,29776,34,114335,10665,50257
3100000US10740,10740,2009,216957,11.8,18.8,30643,37.7,116722,12988,52236
310M100US10740,10740,2010,222653,14,22.3,32670,41.7,110179,16038,56042
310M100US10740,10740,2011,217513,16,23.7,33399,43,101307,15896,55063
310M100US10740,10740,2012,221304,15.3,22.2,33194,44.5,111543,16811,58294
310M200US10740,10740,2013,215884,14.6,24,33150,43,106120,17083,56371
310M200US10740,10740,2014,218865,15.3,22.7,32780,43.7,106627,15489,61388
310M200US10740,10740,2015,212005,13.1,21.4,27692,37.9,108441,16747,56436
310M300US10740,10740,2016,216550,12.9,22.7,31390,44.3,102179,18358,63390
3100000US10780,10780,2006,37755,16,24.6,6730,43.4,18753,1938,10110
3100000US10780,10780,2007,39128,14,21.6,7040,47.4,20248,2712,9829
3100000US10780,10780,2008,40287,13.4,21.1,6842,46.4,21531,2982,11669
3100000US10780,10780,2009,37562,12.5,19,6810,48.6,18914,2626,9992
310M100US10780,10780,2010,35595,15,26.1,7543,50,18106,3972,11020
310M100US10780,10780,2011,33975,17.2,24.2,5828,47,16506,3590,9950
310M100US10780,10780,2012,38331,16.7,27.9,7132,52.1,18931,3602,11310
310M200US10780,10780,2013,34904,13.8,21.9,5357,50.7,17726,4503,10599
310M200US10780,10780,2014,37561,14.9,21.2,5814,40.3,18384,4734,10311
310M200US10780,10780,2015,36410,18,28.8,7624,49.9,18215,1977,12189
