GEOID,MSA,year,income10lo,income10_15,income15_25,income25_35,income35_50,income50_75,income75_100,income100_150,income150_200,income200up,income_median,income_mean
3100000US10140,10140,2006,11.6,8.699999999999999,10.1,13,19.1,16.9,12.2,6,1.2,1.3,40272,51636
3100000US10140,10140,2007,5.1,7.2,12.1,14,20.6,21.9,9.199999999999999,7.1,1.9,.9,42402,52781
3100000US10140,10140,2008,7.5,4.1,18.8,10.8,15.6,20.9,13.8,5.9,1.9,.6,41464,51022
3100000US10140,10140,2009,9.4,8.699999999999999,14.8,14.6,18.4,13,9.199999999999999,9.800000000000001,.9,1.2,36345,50569
310M100US10140,10140,2010,7.7,4.1,15.3,16.3,17.3,19.6,10.4,6.3,1.7,1.3,40019,52068
310M100US10140,10140,2011,10.6,4.4,12.5,15.3,16.9,16.7,12.5,9.300000000000001,1.5,.3,40993,49780
310M100US10140,10140,2012,9.199999999999999,9.300000000000001,10.4,11.1,19.7,17.7,9.9,9.1,2,1.7,42057,55606
310M200US10140,10140,2013,11.3,7.4,11.2,13.3,13.1,21,10.9,8.5,2.5,.9,41315,51932
310M200US10140,10140,2014,10.6,6.5,11.3,11.4,18.1,19,10,9.800000000000001,1,2.2,43356,55748
310M200US10140,10140,2015,8.300000000000001,5.2,12.6,13.2,16.1,18,9.699999999999999,11.6,3,2.3,44122,60494
310M300US10140,10140,2016,6.3,7.2,10.4,9.300000000000001,17.1,18,11.1,13.6,4.6,2.3,49623,67813
3100000US10180,10180,2006,7.8,6.4,16.9,12.9,15.8,21.1,9.199999999999999,6.8,2,1.1,39784,52364
3100000US10180,10180,2007,7.3,6.8,15.9,14.1,16,20.2,9.800000000000001,7.1,1.7,1.1,39369,51693
3100000US10180,10180,2008,8.800000000000001,6.3,11.8,12.7,19.5,19.1,9.699999999999999,6.9,2.4,2.9,41961,58191
3100000US10180,10180,2009,7.6,6.5,14.1,13.2,13.3,22.3,11.2,8.199999999999999,1.9,1.7,42931,54998
310M100US10180,10180,2010,9.9,6.8,13.2,11.7,17.8,15.4,12,9.300000000000001,2.5,1.3,40630,55007
310M100US10180,10180,2011,8.699999999999999,6.9,14.4,14.1,15.2,20.5,9.199999999999999,7.2,2,1.8,40659,52221
310M100US10180,10180,2012,9.199999999999999,6.4,12.8,12.6,14.6,20.4,10.2,7.5,3.8,2.5,43407,60465
310M200US10180,10180,2013,9.4,7,12.5,11.2,15.1,19.7,11.1,8.300000000000001,3.1,2.7,44149,57937
310M200US10180,10180,2014,7.6,6.4,11.2,13.6,16.6,17.9,11.7,8.800000000000001,3.2,3,44303,61532
310M200US10180,10180,2015,7,5.4,12.7,12,14.7,19.4,11.2,11.9,2.7,3.2,47420,65183
310M300US10180,10180,2016,8.1,6.6,9.699999999999999,11.5,15.8,20.6,11.4,11.2,2.8,2.3,48016,62145
3100000US10300,10300,2006,6.8,5.2,11.1,13.5,16.2,24.7,12,8,1.1,1.2,46901,54673
3100000US10300,10300,2007,6.2,5.8,9.699999999999999,11.7,16.4,21.9,13.9,10.4,2.4,1.6,50240,59453
3100000US10300,10300,2008,5.8,8.1,11.4,10.1,14.4,23.5,15,9.199999999999999,1.9,.7,50369,56112
