GEOID,MSA,year,mean_inc,mean_inc_earnings,mean_inc_interest,mean_inc_ss,mean_inc_ssi,mean_inc_assist,mean_inc_retire,mean_inc_2workers,mean_inc_black,mean_inc_asian,mean_inc_hispanic,mean_inc_white
3100000US10140,10140,2006,51636,49995,,12703,8794,2776,14484,69967,,18245,8901,21972
3100000US10140,10140,2007,52781,51232,12634,14036,8980,3169,17366,82433,,13961,10451,21807
3100000US10140,10140,2008,51022,52063,7689,14492,7660,2090,17874,,11455,17259,10074,22654
3100000US10140,10140,2009,50569,49745,19658,15811,7375,3079,17306,75616,,24425,10364,21660
310M100US10140,10140,2010,52068,53803,6413,15261,8403,3492,20143,,,18244,6929,23353
310M100US10140,10140,2011,49780,51698,6717,15694,9359,3897,19079,78099,,21596,7468,21185
310M100US10140,10140,2012,55606,53405,33234,15984,11388,3427,19112,88117,8576,23300,7061,25175
310M200US10140,10140,2013,51932,53902,11337,17972,8333,2137,20522,82326,8786,16863,13507,21785
310M200US10140,10140,2014,55748,55731,23899,19358,8275,3337,21865,89662,7588,26950,12757,24124
310M200US10140,10140,2015,60494,61850,16215,17846,10620,3466,22821,89920,6824,47022,10022,27377
310M300US10140,10140,2016,67813,70321,,19036,10815,2205,20299,94981,22979,22366,15308,29126
3100000US10180,10180,2006,52364,51351,7418,13464,7194,1438,17001,82238,11907,27303,11079,23848
3100000US10180,10180,2007,51693,51788,10649,14222,7741,1087,17120,78489,12183,20863,12221,22759
3100000US10180,10180,2008,58191,56722,16114,13302,7199,3886,16795,87304,13618,21244,13162,26308
3100000US10180,10180,2009,54998,53543,13653,14132,8203,,19807,81140,14556,13251,13421,23783
310M100US10180,10180,2010,55007,54012,12692,14891,9215,4059,22950,78984,11448,9125,11584,25299
310M100US10180,10180,2011,52221,51695,12549,15324,9139,3538,19050,86511,14374,13556,12990,22793
310M100US10180,10180,2012,60465,58542,26347,15496,8311,1037,21149,111840,9379,15315,11977,28117
310M200US10180,10180,2013,57937,58504,11823,17037,8726,1773,22940,90733,13925,14843,13085,25776
310M200US10180,10180,2014,61532,59383,18685,17436,9116,2008,21292,94921,12370,41227,14117,27434
310M200US10180,10180,2015,65183,64757,21124,17521,10719,2799,21362,91520,22320,17774,15611,28244
310M300US10180,10180,2016,62145,61553,16398,17280,11158,2591,21686,85225,12597,21307,14021,27251
3100000US10300,10300,2006,54673,55651,6652,14312,8330,2527,15632,78875,,,14454,22636
3100000US10300,10300,2007,59453,61333,5702,16143,7909,2558,17329,78661,27182,43837,15317,23798
3100000US10300,10300,2008,56112,56055,8912,14518,7387,3322,16118,80699,15205,27385,9383,23278
3100000US10300,10300,2009,56354,54877,13003,17035,10476,1872,15821,82136,8631,19092,11716,22603
310M100US10300,10300,2010,54026,53140,6070,16593,9801,2846,18011,73094,11223,,10409,22054
310M100US10300,10300,2011,53015,52720,4468,16346,7968,3149,17603,77376,3060,12925,9265,22411
310M100US10300,10300,2012,56429,55186,8257,17556,9253,2322,21424,90429,6762,39072,13929,23421
310M200US10300,10300,2013,56687,55398,7881,19457,9136,3091,18592,85170,7954,26734,16094,23255
310M200US10300,10300,2014,60711,60685,10837,18911,8530,1530,16140,96519,8437,,17671,25886
310M200US10300,10300,2015,60687,60279,11677,19373,9791,2863,21171,101211,8564,9671,18608,24608
310M300US10300,10300,2016,67726,68154,8317,18960,9518,1931,19644,103658,12522,114010,14615,27620
3100000US10380,10380,2006,18269,22405,13956,8267,3422,1450,11102,35412,6473,,,
3100000US10380,10380,2007,20186,25667,17897,8711,5298,1674,9315,44398,6373,,,
3100000US10380,10380,2008,19533,23137,12681,9157,8012,1856,10757,42591,8312,,,
3100000US10380,10380,2009,19873,25098,5159,9627,3440,2113,10276,46626,5958,,,
310M100US10380,10380,2010,21623,26664,6462,10309,5748,1659,11382,48500,7658,,7843,9400
310M100US10380,10380,2011,21473,26330,5619,10757,12037,1566,12682,46716,10412,,,
310M100US10380,10380,2012,21939,26351,5142,11142,6443,1858,12255,47986,9239,,7711,15951
310M200US10380,10380,2013,21901,26356,5438,10824,7435,2266,13780,45178,7911,2948,7939,15390
310M200US10380,10380,2014,23613,30031,5175,11423,,2440,13078,44485,11740,,8637,11653
310M200US10380,10380,2015,22249,27842,8613,11856,7015,1922,14085,45758,10733,9339,8413,10460
310M300US10380,10380,2016,21838,26312,7849,10772,9856,2335,14892,53134,7085,,8305,17621
3100000US10420,10420,2006,58859,61009,10785,14048,8222,2433,16945,88367,15180,18349,17592,25918
3100000US10420,10420,2007,63454,64950,14038,14782,8136,2552,18446,96356,14633,21059,12969,28096
3100000US10420,10420,2008,65801,67661,10638,15548,7938,2799,21932,99758,17039,23350,24576,29052
3100000US10420,10420,2009,60668,62612,9079,15314,7465,2948,21707,98548,15894,22200,13764,26950
310M100US10420,10420,2010,60782,63466,10051,16433,8502,3548,18710,101534,16726,23912,18451,26702
310M100US10420,10420,2011,62438,64643,12944,16549,8955,3308,20836,100209,15850,30054,16895,27297
310M100US10420,10420,2012,65187,67464,13007,16565,9065,3808,23397,108114,18163,21936,18290,29087
310M200US10420,10420,2013,67507,69151,12668,16957,9567,3329,23359,108443,16374,27936,20949,30159
310M200US10420,10420,2014,67821,69829,15001,17775,9958,3126,21785,107942,16893,25024,20709,30544
310M200US10420,10420,2015,70288,72234,13833,17915,9323,3059,22448,112516,18324,21208,20871,31568
310M300US10420,10420,2016,70083,73136,12656,17862,9508,3451,24072,117007,20097,23489,17886,31684
310M100US10460,10460,2011,49484,46947,11850,14520,7048,3524,28927,,22675,25655,12237,26837
310M100US10460,10460,2012,51886,49430,6220,17283,8375,3374,20186,87052,10798,22418,8898,27124
310M200US10460,10460,2013,50974,49667,4789,15129,7224,2426,25684,,25777,15450,12049,25442
