GEOID,MSA,year,med_inc,med_inc_black,med_inc_asian,med_inc_hispanic,med_inc_white
3100000US10140,10140,2006,40272,,80352,30975,40103
3100000US10140,10140,2007,42402,,41493,42319,41952
3100000US10140,10140,2008,41464,,35621,36765,42740
3100000US10140,10140,2009,36345,,,38108,36636
310M100US10140,10140,2010,40019,,35844,,41538
310M100US10140,10140,2011,40993,15960,,17750,42518
310M100US10140,10140,2012,42057,,63158,34027,43834
310M200US10140,10140,2013,41315,130743,23333,47327,41024
310M200US10140,10140,2014,43356,,57189,32706,43595
310M200US10140,10140,2015,44122,,85206,40175,44852
310M300US10140,10140,2016,49623,,,40320,51116
3100000US10180,10180,2006,39784,29418,76808,30480,42160
3100000US10180,10180,2007,39369,26583,,37532,42269
3100000US10180,10180,2008,41961,36005,72713,34593,44723
3100000US10180,10180,2009,42931,39561,,33426,46324
310M100US10180,10180,2010,40630,35795,32645,28737,45212
310M100US10180,10180,2011,40659,25552,26144,33117,43751
310M100US10180,10180,2012,43407,30411,21947,32231,48677
310M200US10180,10180,2013,44149,35593,52465,36557,46686
310M200US10180,10180,2014,44303,29363,,39507,48075
310M200US10180,10180,2015,47420,35393,,49989,49265
310M300US10180,10180,2016,48016,37380,28000,39451,52374
3100000US10300,10300,2006,46901,,,34313,50781
3100000US10300,10300,2007,50240,81040,,38305,50418
3100000US10300,10300,2008,50369,75511,85375,48132,49778
3100000US10300,10300,2009,45640,34538,49583,35990,47759
310M100US10300,10300,2010,45563,,,25803,46409
310M100US10300,10300,2011,44509,,14629,21247,46517
310M100US10300,10300,2012,48224,,95840,26745,49185
310M200US10300,10300,2013,45938,40282,,36250,46684
310M200US10300,10300,2014,46739,24658,,37243,48444
310M200US10300,10300,2015,48279,,,41071,48714
310M300US10300,10300,2016,51918,26351,,40765,53306
3100000US10380,10380,2006,11717,17025,,11569,24936
3100000US10380,10380,2007,12139,9069,,12010,23415
3100000US10380,10380,2008,13152,12041,,13015,28698
3100000US10380,10380,2009,13470,9345,,13352,24032
310M100US10380,10380,2010,14313,13758,,14303,15531
310M100US10380,10380,2011,14951,14593,,14858,17259
310M100US10380,10380,2012,15339,15030,55203,15234,
310M200US10380,10380,2013,15323,11725,8716,15218,
310M200US10380,10380,2014,15886,29229,,15732,20975
310M200US10380,10380,2015,14485,14996,,14459,13262
310M300US10380,10380,2016,14546,9471,,14298,27902
3100000US10420,10420,2006,44507,28298,46228,24760,48236
3100000US10420,10420,2007,47898,24810,60502,31612,51871
3100000US10420,10420,2008,50036,26779,,57830,53004
3100000US10420,10420,2009,47482,22852,54696,47467,50139
310M100US10420,10420,2010,46521,26856,45237,37111,49870
310M100US10420,10420,2011,47032,27161,55921,42813,50726
310M100US10420,10420,2012,49731,21692,55378,33840,53984
310M200US10420,10420,2013,49984,27911,58520,50982,53090
310M200US10420,10420,2014,50538,28182,54298,45038,54374
310M200US10420,10420,2015,51580,26998,50533,42843,56751
310M300US10420,10420,2016,51598,29039,38092,,55444
310M100US10460,10460,2011,35308,35582,43583,24889,42301
310M100US10460,10460,2012,40583,,37034,19501,48601
310M200US10460,10460,2013,44102,63308,,28634,47906
310M200US10460,10460,2014,42603,50794,,28293,45311
310M200US10460,10460,2015,36142,18792,,21610,47090
310M300US10460,10460,2016,43646,68047,2500,31018,47209
3100000US10500,10500,2006,35515,24708,,36100,46443
3100000US10500,10500,2007,36402,27353,31938,,51117
3100000US10500,10500,2008,38989,24554,,,53013
3100000US10500,10500,2009,36218,25619,61940,25242,46699
310M100US10500,10500,2010,34002,22364,,18572,47629
