GEOID,MSA,year,pct18_veterans
3100000US10140,10140,2006,13.463339
3100000US10140,10140,2007,14.223478
3100000US10140,10140,2008,12.211564
3100000US10140,10140,2009,14.66206
310M100US10140,10140,2010,12.780674
310M100US10140,10140,2011,12.322333
310M100US10140,10140,2012,12.9997
310M200US10140,10140,2013,11.231478
310M200US10140,10140,2014,14.483667
310M200US10140,10140,2015,13.408079
310M300US10140,10140,2016,12.508137
3100000US10180,10180,2006,13.843645
3100000US10180,10180,2007,13.847148
3100000US10180,10180,2008,13.155474
3100000US10180,10180,2009,12.126478
310M100US10180,10180,2010,11.204342
310M100US10180,10180,2011,13.160651
310M100US10180,10180,2012,12.688749
310M200US10180,10180,2013,11.68395
310M200US10180,10180,2014,10.787282
310M200US10180,10180,2015,10.605989
310M300US10180,10180,2016,10.636718
3100000US10300,10300,2006,12.473237
3100000US10300,10300,2007,11.410365
3100000US10300,10300,2008,9.998457
3100000US10300,10300,2009,9.3279057
310M100US10300,10300,2010,10.536351
310M100US10300,10300,2011,10.178551
310M100US10300,10300,2012,10.23401
310M200US10300,10300,2013,9.4358177
310M200US10300,10300,2014,7.524394
310M200US10300,10300,2015,10.676433
310M300US10300,10300,2016,8.8143616
3100000US10380,10380,2006,2.9736755
3100000US10380,10380,2007,3.6388316
3100000US10380,10380,2008,3.959842
3100000US10380,10380,2009,3.542361
310M100US10380,10380,2010,3.1742625
310M100US10380,10380,2011,3.5538354
310M100US10380,10380,2012,3.639605
310M200US10380,10380,2013,2.7488043
310M200US10380,10380,2014,2.8845394
310M200US10380,10380,2015,2.6774199
310M300US10380,10380,2016,2.1042104
3100000US10420,10420,2006,11.00526
3100000US10420,10420,2007,11.166689
3100000US10420,10420,2008,10.450926
3100000US10420,10420,2009,10.084029
310M100US10420,10420,2010,9.937686
310M100US10420,10420,2011,10.474183
310M100US10420,10420,2012,8.9733229
310M200US10420,10420,2013,8.8855429
310M200US10420,10420,2014,7.9216337
310M200US10420,10420,2015,8.1789942
310M300US10420,10420,2016,7.8686047
310M100US10460,10460,2011,20.824282
310M100US10460,10460,2012,18.264414
310M200US10460,10460,2013,17.994244
310M200US10460,10460,2014,19.766657
310M200US10460,10460,2015,16.63274
310M300US10460,10460,2016,15.120623
3100000US10500,10500,2006,11.46422
3100000US10500,10500,2007,10.847406
3100000US10500,10500,2008,9.9031124
3100000US10500,10500,2009,11.312843
310M100US10500,10500,2010,10.213824
310M100US10500,10500,2011,9.923111
310M100US10500,10500,2012,10.955236
310M200US10500,10500,2013,8.9423428
310M200US10500,10500,2014,8.8694878
310M200US10500,10500,2015,9.7739868
310M300US10500,10500,2016,8.8549709
3100000US10540,10540,2006,14.662176
3100000US10540,10540,2007,16.121241
3100000US10540,10540,2008,14.384608
3100000US10540,10540,2009,13.914474
310M100US10540,10540,2010,13.311542
310M100US10540,10540,2011,12.652576
310M100US10540,10540,2012,14.266288
310M200US10540,10540,2013,10.528289
310M200US10540,10540,2014,11.534841
310M200US10540,10540,2015,13.169254
310M300US10540,10540,2016,12.006669
3100000US10580,10580,2006,11.026708
3100000US10580,10580,2007,10.349589
3100000US10580,10580,2008,10.589498
3100000US10580,10580,2009,9.7629538
310M100US10580,10580,2010,9.2929602
310M100US10580,10580,2011,8.8596621
310M100US10580,10580,2012,8.2814045
310M200US10580,10580,2013,7.6889634
310M200US10580,10580,2014,7.5062065
310M200US10580,10580,2015,7.6872225
310M300US10580,10580,2016,7.1971941
3100000US10700,10700,2006,9.2341928
3100000US10700,10700,2007,10.933829
3100000US10700,10700,2008,11.120967
3100000US10700,10700,2009,10.219353
310M100US10700,10700,2010,11.911795
310M100US10700,10700,2011,10.528311
310M100US10700,10700,2012,8.9765291
310M200US10700,10700,2013,10.052044
310M200US10700,10700,2014,8.4767838
310M200US10700,10700,2015,8.8493223
310M300US10700,10700,2016,8.9437141
3100000US10740,10740,2006,12.70044
3100000US10740,10740,2007,12.394932
3100000US10740,10740,2008,11.963655
3100000US10740,10740,2009,12.213679
310M100US10740,10740,2010,11.541744
310M100US10740,10740,2011,12.429299
310M100US10740,10740,2012,11.863662
310M200US10740,10740,2013,10.465655
310M200US10740,10740,2014,9.9295092
310M200US10740,10740,2015,9.6097555
310M300US10740,10740,2016,9.3805981
3100000US10780,10780,2006,13.23669
3100000US10780,10780,2007,11.78076
3100000US10780,10780,2008,11.652635
3100000US10780,10780,2009,13.616699
310M100US10780,10780,2010,10.870167
310M100US10780,10780,2011,10.662811
310M100US10780,10780,2012,10.040851
310M200US10780,10780,2013,8.6896639
310M200US10780,10780,2014,9.8197355
310M200US10780,10780,2015,9.4691458
310M300US10780,10780,2016,9.0714645
3100000US10880,10880,2006,11.108481
3100000US10880,10880,2007,9.3388157
3100000US10880,10880,2008,11.003574
3100000US10880,10880,2009,11.122819
310M100US10880,10880,2010,9.5705547
310M100US10880,10880,2011,9.1585541
310M100US10880,10880,2012,9.6000195
3100000US10900,10900,2006,10.649996
3100000US10900,10900,2007,10.712648
3100000US10900,10900,2008,10.738599
3100000US10900,10900,2009,9.693162
310M100US10900,10900,2010,9.6791525
310M100US10900,10900,2011,9.2607689
310M100US10900,10900,2012,9.4412365
310M200US10900,10900,2013,7.889173
310M200US10900,10900,2014,8.0657749
310M200US10900,10900,2015,7.9271464
310M300US10900,10900,2016,7.6777549
3100000US11020,11020,2006,13.394538
3100000US11020,11020,2007,13.158267
3100000US11020,11020,2008,13.124398
3100000US11020,11020,2009,14.126364
310M100US11020,11020,2010,11.613058
310M100US11020,11020,2011,12.90624
310M100US11020,11020,2012,12.525932
310M200US11020,11020,2013,11.940506
310M200US11020,11020,2014,12.319101
310M200US11020,11020,2015,9.0570841
310M300US11020,11020,2016,9.5564966
3100000US11100,11100,2006,10.219275
3100000US11100,11100,2007,8.6136808
3100000US11100,11100,2008,9.2034664
3100000US11100,11100,2009,9.1717997
310M100US11100,11100,2010,9.5100355
310M100US11100,11100,2011,9.2791729
310M100US11100,11100,2012,8.3596897
310M200US11100,11100,2013,9.8063211
310M200US11100,11100,2014,8.6960344
310M200US11100,11100,2015,7.7160811
310M300US11100,11100,2016,7.8679409
3100000US11180,11180,2006,8.5735369
3100000US11180,11180,2007,6.9393802
3100000US11180,11180,2008,5.2765121
3100000US11180,11180,2009,7.0831361
310M100US11180,11180,2010,6.4421272
310M100US11180,11180,2011,6.0021901
310M100US11180,11180,2012,6.891655
310M200US11180,11180,2013,6.3786845
