GEOID,MSA,year,lfpr16up,employed16up,unemployed16up,lfpr_black,employed_black,unemployed_black,lfpr_hispanic,employed_hispanic,unemployed_hispanic,lfpr_white,employed_white,unemployed_white,lfpr20_64,employed20_64,unemployed20_64,lfpr20_64_m,employed20_64_m,unemployed20_64_m,lfpr20_64_f,employed20_64_f,unemployed20_64_f,unemployed20_64_disable,pct_disabled20_64
3100000US10140,10140,2006,56.9,52.4,7.8,,,,,,,56.7,51.9,8.4,69.90000000000001,65.5,6.2,71.90000000000001,65.8,8.4,67.7,65.09999999999999,3.8,13.7,21.481689
3100000US10140,10140,2007,58.3,52,10.8,,,,,,,56.3,50.3,10.8,71.2,64.3,9.699999999999999,74.40000000000001,67.7,9,67.8,60.6,10.6,23.4,22.75173
3100000US10140,10140,2008,59,54.1,8.1,,,,,,,59,53.9,8.5,72.09999999999999,66.90000000000001,7,74.59999999999999,68.8,7.4,69.3,64.8,6.5,10.4,16.440992
3100000US10140,10140,2009,54.6,45.3,16.9,,,,,,,53.8,45.1,16,66.7,55.6,16.5,67.40000000000001,54.4,19.2,65.8,56.9,13.6,11,21.60371
310M100US10140,10140,2010,53.2,44.9,15.7,,,,,,,55,46.4,15.5,65.8,55.7,15.3,65.8,54,18,65.7,57.6,12.4,22.4,17.135382
310M100US10140,10140,2011,55.4,45.6,17.3,,,,,,,54.9,45.4,17,67.59999999999999,56.8,15.7,68.3,54.6,19.5,66.7,59.1,11.3,24.6,17.977867
310M100US10140,10140,2012,53.9,45,16.4,,,,,,,53.5,45.4,15,67.5,57.4,15.1,69.3,55.3,20.2,65.59999999999999,59.6,9.199999999999999,17.4,15.650181
310M200US10140,10140,2013,51.1,43.2,14.9,,,,,,,51,43.1,14.9,64.90000000000001,54.7,15,65.2,53.8,17.1,64.59999999999999,55.8,12.5,31,15.453522
310M200US10140,10140,2014,51.4,45.2,12.2,,,,,,,49.3,43.6,11.4,63.2,55.9,11.5,62.8,54.2,13.7,63.7,58,9.1,18.7,19.926533
310M200US10140,10140,2015,53.1,46.4,12.6,,,,,,,51.8,46.1,10.9,67.8,60.4,10.9,69.8,58.9,15.4,65.7,61.9,5.7,9,17.845251
310M300US10140,10140,2016,51.9,47.7,7.5,,,,,,,50.9,47.3,6.4,66.59999999999999,61.6,6.8,66.2,62,5.3,66.90000000000001,61.2,8.5,26.5,14.098964
3100000US10180,10180,2006,62.6,56.5,6.6,56.3,48.1,10.8,58.4,49.5,13.2,64,58.8,4.8,74.8,67.90000000000001,5.8,76.5,67,6.3,72.90000000000001,69,5.2,9.1,15.423708
3100000US10180,10180,2007,58.1,53.1,3.2,,,,60.3,57.7,3.6,58.5,53.3,3.3,71.59999999999999,65.3,3,77,68.09999999999999,2.4,65.8,62.3,3.8,8.300000000000001,13.900435
3100000US10180,10180,2008,63.2,57.1,2.8,50.4,38.5,11.1,,,,64.09999999999999,58.5,2.5,74.59999999999999,67.90000000000001,1.5,75.40000000000001,65.5,1.3,73.7,70.59999999999999,1.8,2.5,11.504425
3100000US10180,10180,2009,63.5,56.6,5.7,60,44.5,11.6,59.4,53.6,6.5,64.2,57.9,4.5,74.59999999999999,67,4.4,77.09999999999999,66.2,4,72.2,67.8,4.8,7.5,12.278008
310M100US10180,10180,2010,61,53.3,8.5,53.9,29.5,37.2,61.6,54.1,10.4,61.3,55.6,5.5,73.2,64.5,7.7,74.7,64,8.199999999999999,71.5,64.90000000000001,7.2,12.9,14.616044
310M100US10180,10180,2011,55.2,49.8,6.9,,,,59,54.7,5.4,56.4,50.6,7.2,65.90000000000001,59.5,6.6,62.9,54.5,8.199999999999999,69.5,65.3,5,8.4,13.895194
310M100US10180,10180,2012,57.2,51.7,6.8,47,41.5,10.1,56.6,49.5,10.7,58.2,53.3,5.3,69,62.3,6.5,71.3,63.2,5.9,66.40000000000001,61.3,7.2,17.3,11.859934
310M200US10180,10180,2013,60.3,54.9,5.3,,,,63.2,56.8,7.3,59.2,54.8,4.5,72.3,66,4.6,72.7,64.2,4.3,71.90000000000001,68,5,8.6,15.567513
310M200US10180,10180,2014,61.3,55.7,5.1,,,,64.8,58.5,5.8,61,55.8,4.6,73.3,66.40000000000001,4.9,75.3,65.40000000000001,5.7,71.2,67.59999999999999,4.1,8.699999999999999,13.773247
310M200US10180,10180,2015,60,54.5,4.1,,,,64.8,59.7,4.2,59.1,53.6,4.1,71.59999999999999,65.8,2.8,73.7,65.59999999999999,2.5,69.2,66,3,5.7,10.367574
310M300US10180,10180,2016,57.2,52.9,3.9,48.6,40.5,5.7,59.5,54.9,4.6,58.1,54.6,3.5,69.5,64.59999999999999,3.5,68,61.2,4.7,71.09999999999999,68.40000000000001,2.2,11.6,16.765455
3100000US10300,10300,2006,66.5,59.7,10,,,,73.59999999999999,62.3,15.3,65.8,60,8.699999999999999,79.90000000000001,73.09999999999999,8.4,86.59999999999999,79.90000000000001,7.4,73.2,66.3,9.5,17.8,16.367846
3100000US10300,10300,2007,64.09999999999999,58.4,8.9,,,,,,,63.9,58.7,8.1,79.8,73.2,8.199999999999999,83,76.2,8.199999999999999,76.5,70.3,8.1,16.1,11.471251
3100000US10300,10300,2008,64.90000000000001,59.2,8.699999999999999,,,,,,,64.90000000000001,59.4,8.4,80.59999999999999,73.5,8.699999999999999,84.40000000000001,75.09999999999999,11,76.40000000000001,71.8,5.9,17.4,11.395823
3100000US10300,10300,2009,61.2,51.9,15.1,,,,,,,60.9,52.1,14.3,74.09999999999999,62.8,15.1,75.09999999999999,62.3,16.8,73.09999999999999,63.4,13.3,24.9,13.72175
310M100US10300,10300,2010,62.5,53.6,14.4,,,,65.59999999999999,39.2,40.3,63.2,55.5,12.2,77.09999999999999,66.3,13.9,78.5,65.40000000000001,16.7,75.5,67.3,10.8,12,10.592181
310M100US10300,10300,2011,60.1,53.8,10.5,,,,61,49.8,18.4,61.9,56,9.5,74.5,67,10,74.59999999999999,66.2,11.3,74.40000000000001,67.90000000000001,8.6,19.2,13.316812
310M100US10300,10300,2012,59,52.6,10.9,,,,,,,60,54.1,9.9,73,65.8,9.800000000000001,71.59999999999999,64,10.7,74.5,67.8,9,23.9,12.516738
310M200US10300,10300,2013,60.5,55.1,8.9,,,,,,,59.9,54.9,8.4,74.90000000000001,68.90000000000001,8,75.5,68.59999999999999,9,74.3,69.2,6.8,11.8,12.101563
310M200US10300,10300,2014,59.1,55.2,6.7,,,,,,,59.6,55.8,6.3,74.5,69.7,6.4,76.3,71.5,6.3,72.59999999999999,67.90000000000001,6.5,11.1,13.294758
310M200US10300,10300,2015,55.9,52.6,5.9,,,,,,,56.3,53.4,5.2,71.09999999999999,67.2,5.4,72.8,67.90000000000001,6.6,69.3,66.5,4,6,14.300439
310M300US10300,10300,2016,58.7,56.1,4.5,,,,,,,59.3,56.9,4,74.59999999999999,71.59999999999999,4,77.3,73,5.5,71.7,70.09999999999999,2.3,2.7,13.171987
3100000US10380,10380,2006,40.8,32.4,20.6,44.9,32.2,28.2,40.7,32.2,20.8,,,,51.1,41.1,19.4,61.8,49.6,19.6,40.8,33,19.1,14.9,24.253363
3100000US10380,10380,2007,40.5,32.1,20.7,49.4,28.3,42.8,40,31.5,21.1,,,,51.1,40.9,19.9,60.5,48.9,19.1,42,33.2,20.9,19.3,25.333052
3100000US10380,10380,2008,42.8,33.9,20.6,34.7,25,28.1,42.5,33.8,20.3,61.3,37.2,36.9,54.5,43.4,20,66.40000000000001,54.3,17.7,43.1,32.9,23.5,24.1,23.240307
3100000US10380,10380,2009,40.2,31.2,22.3,46.4,30.8,32.8,40.1,31.1,22.4,,,,51.7,40.8,21,60,49.7,16.9,43.5,32,26.5,23.8,24.314217
310M100US10380,10380,2010,40.9,29.7,27.1,42,26.6,36.7,40.5,29.7,26.5,53.9,34.2,35.1,52.8,38.7,26.6,60,46.2,22.6,46.1,31.7,31.3,28.1,19.493095
310M100US10380,10380,2011,40.6,31,23.5,41,27.4,33.3,40,30.6,23.6,,,,53.6,41.4,22.8,61.3,49.4,19.4,46.4,33.9,27,20.7,22.130135
310M100US10380,10380,2012,39.1,31.5,19.5,,,,38.6,31,19.6,,,,52.3,42.5,18.6,58.8,47.1,19.6,46.3,38.2,17.5,17.4,22.903597
310M200US10380,10380,2013,40.2,29.5,26.4,37.8,22.3,41,39.6,29,26.7,,,,53.1,39.9,24.7,60,45.6,23.8,46.6,34.6,25.9,27,25.499863
310M200US10380,10380,2014,40.4,29.8,26.1,49.4,40.4,18.2,40,29.3,26.6,,,,54.1,40.3,25.5,60.9,47.1,22.6,47.8,33.9,29,33.3,21.09602
310M200US10380,10380,2015,42,31.2,25.7,43.9,25.9,40.9,41.9,30.9,26.2,,,,56.7,42.3,25.2,60.5,44,27,53.1,40.7,23.3,37.8,20.723583
310M300US10380,10380,2016,40,31.7,20.6,,,,39.5,31,21.3,,,,53.9,42.8,20.5,60.3,49.5,17.5,47.9,36.4,24.1,34.7,20.805141
3100000US10420,10420,2006,66.90000000000001,62.6,6.3,64.5,56.6,12.3,,,,67.2,63.4,5.5,80.09999999999999,75.59999999999999,5.5,85.59999999999999,80.2,6.2,74.8,71.2,4.8,14.7,13.117162
3100000US10420,10420,2007,66.5,61.7,7.1,59.8,51.3,14.1,,,,67.2,62.9,6.3,80,74.8,6.4,85.5,79.5,6.7,74.8,70.3,6.1,14.7,12.830251
3100000US10420,10420,2008,68.5,63.3,7.4,70.8,59.5,15.9,,,,68.2,63.8,6.3,82.3,76.59999999999999,6.9,88.90000000000001,82.5,7.1,76.09999999999999,70.90000000000001,6.7,19.3,9.061821
3100000US10420,10420,2009,67.3,59.3,11.7,65.90000000000001,51.3,22.1,,,,67.59999999999999,60.5,10.3,81.2,72.09999999999999,11.1,85.09999999999999,74.8,11.9,77.40000000000001,69.5,10.2,21.6,10.601054
310M100US10420,10420,2010,65.7,57.8,12,61.4,48.9,19.8,61.7,52.9,14.4,66.5,59.2,11,80.40000000000001,71.59999999999999,10.9,84.8,74.3,12.1,76.09999999999999,68.90000000000001,9.5,26,9.8839521
310M100US10420,10420,2011,65.40000000000001,58.3,10.9,62.1,49.1,20.9,67.2,54.2,19.4,65.7,59.5,9.5,79.40000000000001,71.5,10,83.3,73.90000000000001,11.2,75.7,69.09999999999999,8.699999999999999,23.9,10.542668
310M100US10420,10420,2012,64.8,58.5,9.6,60.1,47.1,21.7,,,,65.3,60.1,7.8,78.8,72.2,8.300000000000001,83.90000000000001,76.90000000000001,8.300000000000001,73.90000000000001,67.7,8.4,17.2,11.085777
310M200US10420,10420,2013,65.7,59.5,9.4,62.9,53.1,15.6,69.2,62.2,10.2,66.09999999999999,60.4,8.5,79.40000000000001,72.59999999999999,8.6,83.2,74.90000000000001,9.9,75.90000000000001,70.3,7.3,20.3,10.024373
310M200US10420,10420,2014,65.2,60.5,7.1,62,52,16,,,,65.90000000000001,62.1,5.8,79.40000000000001,74.2,6.5,83.5,77.5,7.1,75.5,71.09999999999999,5.8,16.2,10.22347
310M200US10420,10420,2015,63.7,59.8,6.1,59.7,52,13,,,,64.5,61.2,5.1,78.3,73.90000000000001,5.5,83.3,78.59999999999999,5.6,73.5,69.5,5.4,9.9,11.130394
310M300US10420,10420,2016,63.2,59.9,5.3,63.8,55.4,13.1,,,,63.3,60.8,4,77.5,73.7,4.9,82.3,77.3,6.1,72.90000000000001,70.3,3.6,11.6,11.532041
