GEOID,MSA,year,num_hunits,num_hunits_owned,num_hunits_rented
3100000US10140,10140,2006,28616,18818,9798
3100000US10140,10140,2007,27388,19637,7751
3100000US10140,10140,2008,29044,18565,10479
3100000US10140,10140,2009,27759,18319,9440
310M100US10140,10140,2010,28376,19916,8460
310M100US10140,10140,2011,25619,18414,7205
310M100US10140,10140,2012,27880,19704,8176
310M200US10140,10140,2013,26815,17840,8975
310M200US10140,10140,2014,27401,17764,9637
310M200US10140,10140,2015,27430,17697,9733
310M300US10140,10140,2016,27330,19579,7751
3100000US10180,10180,2006,59850,39716,20134
3100000US10180,10180,2007,60692,40202,20490
3100000US10180,10180,2008,59960,39853,20107
3100000US10180,10180,2009,58052,37617,20435
310M100US10180,10180,2010,59857,37501,22356
310M100US10180,10180,2011,58974,39635,19339
310M100US10180,10180,2012,60066,35970,24096
310M200US10180,10180,2013,60588,39089,21499
310M200US10180,10180,2014,59932,36872,23060
310M200US10180,10180,2015,59372,36046,23326
310M300US10180,10180,2016,59263,35715,23548
3100000US10300,10300,2006,37736,29012,8724
3100000US10300,10300,2007,38000,32146,5854
3100000US10300,10300,2008,37184,29485,7699
3100000US10300,10300,2009,36835,28867,7968
310M100US10300,10300,2010,36341,29431,6910
310M100US10300,10300,2011,38055,29392,8663
310M100US10300,10300,2012,37998,28534,9464
310M200US10300,10300,2013,37270,28932,8338
310M200US10300,10300,2014,38483,28540,9943
310M200US10300,10300,2015,37016,29309,7707
310M300US10300,10300,2016,37781,29762,8019
3100000US10380,10380,2006,97900,71882,26018
3100000US10380,10380,2007,96218,73293,22925
3100000US10380,10380,2008,90763,66747,24016
3100000US10380,10380,2009,91805,68535,23270
310M100US10380,10380,2010,108256,76275,31981
310M100US10380,10380,2011,103042,70071,32971
310M100US10380,10380,2012,99474,68002,31472
310M200US10380,10380,2013,110765,73887,36878
310M200US10380,10380,2014,108557,70468,38089
310M200US10380,10380,2015,109586,72228,37358
310M300US10380,10380,2016,110316,73175,37141
3100000US10420,10420,2006,280837,196646,84191
3100000US10420,10420,2007,281669,196521,85148
3100000US10420,10420,2008,281731,193153,88578
3100000US10420,10420,2009,281769,191679,90090
310M100US10420,10420,2010,281523,194366,87157
310M100US10420,10420,2011,274696,186106,88590
310M100US10420,10420,2012,280887,188149,92738
310M200US10420,10420,2013,281324,185369,95955
310M200US10420,10420,2014,283364,186105,97259
310M200US10420,10420,2015,282456,184981,97475
310M300US10420,10420,2016,284670,186734,97936
310M100US10460,10460,2011,25312,16022,9290
310M100US10460,10460,2012,22769,14608,8161
310M200US10460,10460,2013,23176,15246,7930
310M200US10460,10460,2014,23190,14777,8413
310M200US10460,10460,2015,23919,15499,8420
310M300US10460,10460,2016,22384,15152,7232
3100000US10500,10500,2006,61158,34718,26440
3100000US10500,10500,2007,60777,34189,26588
3100000US10500,10500,2008,60893,36495,24398
3100000US10500,10500,2009,60101,36028,24073
310M100US10500,10500,2010,60263,35667,24596
310M100US10500,10500,2011,58438,32023,26415
310M100US10500,10500,2012,57699,32652,25047
310M200US10500,10500,2013,56505,30923,25582
310M200US10500,10500,2014,57795,31235,26560
310M200US10500,10500,2015,57597,31505,26092
310M300US10500,10500,2016,57228,30393,26835
3100000US10540,10540,2006,42668,28984,13684
3100000US10540,10540,2007,44444,30369,14075
3100000US10540,10540,2008,42569,27892,14677
3100000US10540,10540,2009,43953,30325,13628
310M100US10540,10540,2010,45489,30438,15051
310M100US10540,10540,2011,45399,28866,16533
310M100US10540,10540,2012,43905,29677,14228
310M200US10540,10540,2013,43911,28243,15668
310M200US10540,10540,2014,45907,30662,15245
310M200US10540,10540,2015,46315,27464,18851
310M300US10540,10540,2016,46645,30324,16321
3100000US10580,10580,2006,337905,221077,116828
3100000US10580,10580,2007,337307,225669,111638
3100000US10580,10580,2008,337729,226463,111266
3100000US10580,10580,2009,336492,224144,112348
310M100US10580,10580,2010,348634,225850,122784
310M100US10580,10580,2011,345662,228119,117543
310M100US10580,10580,2012,342705,221169,121536
310M200US10580,10580,2013,347942,225196,122746
310M200US10580,10580,2014,347291,222211,125080
310M200US10580,10580,2015,342766,218962,123804
310M300US10580,10580,2016,343069,216144,126925
3100000US10700,10700,2006,32397,24827,7570
3100000US10700,10700,2007,33737,24664,9073
3100000US10700,10700,2008,32519,23214,9305
3100000US10700,10700,2009,32651,23278,9373
310M100US10700,10700,2010,35024,24796,10228
310M100US10700,10700,2011,33750,25136,8614
310M100US10700,10700,2012,33802,24341,9461
310M200US10700,10700,2013,33738,24523,9215
310M200US10700,10700,2014,34872,23474,11398
310M200US10700,10700,2015,33972,24887,9085
310M300US10700,10700,2016,34726,23374,11352
3100000US10740,10740,2006,318482,218800,99682
3100000US10740,10740,2007,322464,220936,101528
3100000US10740,10740,2008,331371,224622,106749
3100000US10740,10740,2009,334647,224529,110118
310M100US10740,10740,2010,344800,230349,114451
310M100US10740,10740,2011,345157,229639,115518
310M100US10740,10740,2012,344869,230429,114440
310M200US10740,10740,2013,336614,221382,115232
310M200US10740,10740,2014,342552,224591,117961
310M200US10740,10740,2015,342590,227921,114669
310M300US10740,10740,2016,343912,234348,109564
3100000US10780,10780,2006,55546,37650,17896
3100000US10780,10780,2007,58013,39028,18985
3100000US10780,10780,2008,55444,38624,16820
3100000US10780,10780,2009,56272,38486,17786
310M100US10780,10780,2010,54774,36786,17988
310M100US10780,10780,2011,51981,35452,16529
310M100US10780,10780,2012,57277,38008,19269
310M200US10780,10780,2013,55320,36165,19155
310M200US10780,10780,2014,53802,34153,19649
310M200US10780,10780,2015,54406,31228,23178
310M300US10780,10780,2016,55246,33568,21678
3100000US10880,10880,2006,41642,35295,6347
3100000US10880,10880,2007,41008,33935,7073
3100000US10880,10880,2008,41648,33921,7727
3100000US10880,10880,2009,41660,34378,7282
310M100US10880,10880,2010,41724,34248,7476
310M100US10880,10880,2011,40921,33727,7194
310M100US10880,10880,2012,42930,34073,8857
3100000US10900,10900,2006,305792,224503,81289
3100000US10900,10900,2007,308726,223014,85712
3100000US10900,10900,2008,311209,229340,81869
3100000US10900,10900,2009,306116,222240,83876
310M100US10900,10900,2010,311470,223955,87515
310M100US10900,10900,2011,312237,223811,88426
310M100US10900,10900,2012,314173,218965,95208
310M200US10900,10900,2013,313226,217571,95655
310M200US10900,10900,2014,315376,220337,95039
310M200US10900,10900,2015,314985,217420,97565
310M300US10900,10900,2016,317457,216007,101450
3100000US11020,11020,2006,50528,37443,13085
3100000US11020,11020,2007,51231,36501,14730
3100000US11020,11020,2008,50854,36557,14297
