MSA,MSA_name,year
10140,"Aberdeen, WA Micro Area",2006
10180,"Abilene, TX Metro Area",2006
10300,"Adrian, MI Micro Area",2006
10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",2006
10420,"Akron, OH Metro Area",2006
10500,"Albany, GA Metro Area",2006
10540,"Albany-Lebanon, OR Micro Area",2006
10580,"Albany-Schenectady-Troy, NY Metro Area",2006
10700,"Albertville, AL Micro Area",2006
10740,"Albuquerque, NM Metro Area",2006
10780,"Alexandria, LA Metro Area",2006
10880,"Allegan, MI Micro Area",2006
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2006
11020,"Altoona, PA Metro Area",2006
11100,"Amarillo, TX Metro Area",2006
11180,"Ames, IA Metro Area",2006
11260,"Anchorage, AK Metro Area",2006
11300,"Anderson, IN Metro Area",2006
11340,"Anderson, SC Metro Area",2006
11460,"Ann Arbor, MI Metro Area",2006
11500,"Anniston-Oxford, AL Metro Area",2006
11540,"Appleton, WI Metro Area",2006
11700,"Asheville, NC Metro Area",2006
11780,"Ashtabula, OH Micro Area",2006
11980,"Athens, TX Micro Area",2006
12020,"Athens-Clarke County, GA Metro Area",2006
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2006
12100,"Atlantic City, NJ Metro Area",2006
12180,"Auburn, NY Micro Area",2006
12220,"Auburn-Opelika, AL Metro Area",2006
12260,"Augusta-Richmond County, GA-SC Metro Area",2006
12300,"Augusta-Waterville, ME Micro Area",2006
12420,"Austin-Round Rock, TX Metro Area",2006
12540,"Bakersfield, CA Metro Area",2006
12580,"Baltimore-Towson, MD Metro Area",2006
12620,"Bangor, ME Metro Area",2006
12700,"Barnstable Town, MA Metro Area",2006
12940,"Baton Rouge, LA Metro Area",2006
12980,"Battle Creek, MI Metro Area",2006
13020,"Bay City, MI Metro Area",2006
13140,"Beaumont-Port Arthur, TX Metro Area",2006
13180,"Beaver Dam, WI Micro Area",2006
13220,"Beckley, WV Micro Area",2006
13380,"Bellingham, WA Metro Area",2006
13460,"Bend, OR Metro Area",2006
13740,"Billings, MT Metro Area",2006
13780,"Binghamton, NY Metro Area",2006
13820,"Birmingham-Hoover, AL Metro Area",2006
13900,"Bismarck, ND Metro Area",2006
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2006
14020,"Bloomington, IN Metro Area",2006
14060,"Bloomington-Normal, IL Metro Area",2006
14100,"Bloomsburg-Berwick, PA Micro Area",2006
14140,"Bluefield, WV-VA Micro Area",2006
14260,"Boise City-Nampa, ID Metro Area",2006
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2006
14500,"Boulder, CO Metro Area",2006
14540,"Bowling Green, KY Metro Area",2006
14580,"Bozeman, MT Micro Area",2006
14660,"Brainerd, MN Micro Area",2006
14700,"Branson, MO Micro Area",2006
14740,"Bremerton-Silverdale, WA Metro Area",2006
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2006
15180,"Brownsville-Harlingen, TX Metro Area",2006
15260,"Brunswick, GA Metro Area",2006
15380,"Buffalo-Niagara Falls, NY Metro Area",2006
15500,"Burlington, NC Metro Area",2006
15540,"Burlington-South Burlington, VT Metro Area",2006
15940,"Canton-Massillon, OH Metro Area",2006
15980,"Cape Coral-Fort Myers, FL Metro Area",2006
16020,"Cape Girardeau-Jackson, MO-IL Micro Area",2006
16220,"Casper, WY Metro Area",2006
16300,"Cedar Rapids, IA Metro Area",2006
16500,"Centralia, WA Micro Area",2006
16540,"Chambersburg, PA Micro Area",2006
16580,"Champaign-Urbana, IL Metro Area",2006
16620,"Charleston, WV Metro Area",2006
16700,"Charleston-North Charleston, SC Metro Area",2006
16740,"Charlotte-Gastonia-Concord, NC-SC Metro Area",2006
16820,"Charlottesville, VA Metro Area",2006
16860,"Chattanooga, TN-GA Metro Area",2006
16940,"Cheyenne, WY Metro Area",2006
16980,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",2006
17020,"Chico, CA Metro Area",2006
17060,"Chillicothe, OH Micro Area",2006
17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2006
17220,"Clarksburg, WV Micro Area",2006
17300,"Clarksville, TN-KY Metro Area",2006
17340,"Clearlake, CA Micro Area",2006
17420,"Cleveland, TN Metro Area",2006
17460,"Cleveland-Elyria-Mentor, OH Metro Area",2006
17660,"Coeur d'Alene, ID Metro Area",2006
17780,"College Station-Bryan, TX Metro Area",2006
17820,"Colorado Springs, CO Metro Area",2006
17860,"Columbia, MO Metro Area",2006
17900,"Columbia, SC Metro Area",2006
17940,"Columbia, TN Micro Area",2006
17980,"Columbus, GA-AL Metro Area",2006
18020,"Columbus, IN Metro Area",2006
18140,"Columbus, OH Metro Area",2006
18180,"Concord, NH Micro Area",2006
18260,"Cookeville, TN Micro Area",2006
18300,"Coos Bay, OR Micro Area",2006
18500,"Corning, NY Micro Area",2006
18580,"Corpus Christi, TX Metro Area",2006
18700,"Corvallis, OR Metro Area",2006
18980,"Cullman, AL Micro Area",2006
19060,"Cumberland, MD-WV Metro Area",2006
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2006
19140,"Dalton, GA Metro Area",2006
19180,"Danville, IL Metro Area",2006
19260,"Danville, VA Metro Area",2006
19300,"Daphne-Fairhope, AL Micro Area",2006
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",2006
19380,"Dayton, OH Metro Area",2006
19460,"Decatur, AL Metro Area",2006
19500,"Decatur, IL Metro Area",2006
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2006
19740,"Denver-Aurora, CO Metro Area",2006
19780,"Des Moines-West Des Moines, IA Metro Area",2006
19820,"Detroit-Warren-Livonia, MI Metro Area",2006
20020,"Dothan, AL Metro Area",2006
20100,"Dover, DE Metro Area",2006
20180,"DuBois, PA Micro Area",2006
20220,"Dubuque, IA Metro Area",2006
20260,"Duluth, MN-WI Metro Area",2006
20380,"Dunn, NC Micro Area",2006
20500,"Durham, NC Metro Area",2006
20620,"East Liverpool-Salem, OH Micro Area",2006
20700,"East Stroudsburg, PA Micro Area",2006
20740,"Eau Claire, WI Metro Area",2006
20940,"El Centro, CA Metro Area",2006
21060,"Elizabethtown, KY Metro Area",2006
21140,"Elkhart-Goshen, IN Metro Area",2006
21300,"Elmira, NY Metro Area",2006
21340,"El Paso, TX Metro Area",2006
21460,"Enterprise-Ozark, AL Micro Area",2006
21500,"Erie, PA Metro Area",2006
21660,"Eugene-Springfield, OR Metro Area",2006
21700,"Eureka-Arcata-Fortuna, CA Micro Area",2006
21780,"Evansville, IN-KY Metro Area",2006
21820,"Fairbanks, AK Metro Area",2006
21940,"Fajardo, PR Metro Area",2006
22020,"Fargo, ND-MN Metro Area",2006
22140,"Farmington, NM Metro Area",2006
22180,"Fayetteville, NC Metro Area",2006
22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",2006
22300,"Findlay, OH Micro Area",2006
22380,"Flagstaff, AZ Metro Area",2006
22420,"Flint, MI Metro Area",2006
22500,"Florence, SC Metro Area",2006
22520,"Florence-Muscle Shoals, AL Metro Area",2006
22540,"Fond du Lac, WI Metro Area",2006
22660,"Fort Collins-Loveland, CO Metro Area",2006
22840,"Fort Payne, AL Micro Area",2006
22900,"Fort Smith, AR-OK Metro Area",2006
23020,"Fort Walton Beach-Crestview-Destin, FL Metro Area",2006
23060,"Fort Wayne, IN Metro Area",2006
23180,"Frankfort, KY Micro Area",2006
23420,"Fresno, CA Metro Area",2006
23460,"Gadsden, AL Metro Area",2006
23540,"Gainesville, FL Metro Area",2006
23580,"Gainesville, GA Metro Area",2006
23660,"Galesburg, IL Micro Area",2006
23700,"Gallup, NM Micro Area",2006
23900,"Gettysburg, PA Micro Area",2006
24020,"Glens Falls, NY Metro Area",2006
24140,"Goldsboro, NC Metro Area",2006
24220,"Grand Forks, ND-MN Metro Area",2006
24260,"Grand Island, NE Micro Area",2006
24300,"Grand Junction, CO Metro Area",2006
24340,"Grand Rapids-Wyoming, MI Metro Area",2006
24420,"Grants Pass, OR Micro Area",2006
24500,"Great Falls, MT Metro Area",2006
24540,"Greeley, CO Metro Area",2006
24580,"Green Bay, WI Metro Area",2006
24620,"Greeneville, TN Micro Area",2006
24660,"Greensboro-High Point, NC Metro Area",2006
24780,"Greenville, NC Metro Area",2006
24860,"Greenville, SC Metro Area",2006
24940,"Greenwood, SC Micro Area",2006
25020,"Guayama, PR Metro Area",2006
25060,"Gulfport-Biloxi, MS Metro Area",2006
25180,"Hagerstown-Martinsburg, MD-WV Metro Area",2006
25220,"Hammond, LA Micro Area",2006
25260,"Hanford-Corcoran, CA Metro Area",2006
25420,"Harrisburg-Carlisle, PA Metro Area",2006
25500,"Harrisonburg, VA Metro Area",2006
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",2006
25620,"Hattiesburg, MS Metro Area",2006
25740,"Helena, MT Micro Area",2006
25860,"Hickory-Lenoir-Morganton, NC Metro Area",2006
25900,"Hilo, HI Micro Area",2006
25940,"Hilton Head Island-Beaufort, SC Micro Area",2006
25980,"Hinesville-Fort Stewart, GA Metro Area",2006
26100,"Holland-Grand Haven, MI Metro Area",2006
26140,"Homosassa Springs, FL Micro Area",2006
26180,"Honolulu, HI Metro Area",2006
26300,"Hot Springs, AR Metro Area",2006
26380,"Houma-Bayou Cane-Thibodaux, LA Metro Area",2006
26420,"Houston-Sugar Land-Baytown, TX Metro Area",2006
26580,"Huntington-Ashland, WV-KY-OH Metro Area",2006
26620,"Huntsville, AL Metro Area",2006
26820,"Idaho Falls, ID Metro Area",2006
26860,"Indiana, PA Micro Area",2006
26900,"Indianapolis-Carmel, IN Metro Area",2006
26980,"Iowa City, IA Metro Area",2006
27060,"Ithaca, NY Metro Area",2006
27100,"Jackson, MI Metro Area",2006
27140,"Jackson, MS Metro Area",2006
27180,"Jackson, TN Metro Area",2006
27260,"Jacksonville, FL Metro Area",2006
27340,"Jacksonville, NC Metro Area",2006
27460,"Jamestown-Dunkirk-Fredonia, NY Micro Area",2006
27500,"Janesville, WI Metro Area",2006
27620,"Jefferson City, MO Metro Area",2006
27740,"Johnson City, TN Metro Area",2006
27780,"Johnstown, PA Metro Area",2006
27860,"Jonesboro, AR Metro Area",2006
27900,"Joplin, MO Metro Area",2006
27980,"Kahului-Wailuku, HI Micro Area",2006
28020,"Kalamazoo-Portage, MI Metro Area",2006
28060,"Kalispell, MT Micro Area",2006
28100,"Kankakee-Bradley, IL Metro Area",2006
28140,"Kansas City, MO-KS Metro Area",2006
28300,"Keene, NH Micro Area",2006
28420,"Kennewick-Richland-Pasco, WA Metro Area",2006
28580,"Key West-Marathon, FL Micro Area",2006
28660,"Killeen-Temple-Fort Hood, TX Metro Area",2006
28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",2006
28740,"Kingston, NY Metro Area",2006
28900,"Klamath Falls, OR Micro Area",2006
28940,"Knoxville, TN Metro Area",2006
29020,"Kokomo, IN Metro Area",2006
29100,"La Crosse, WI-MN Metro Area",2006
29140,"Lafayette, IN Metro Area",2006
29180,"Lafayette, LA Metro Area",2006
29340,"Lake Charles, LA Metro Area",2006
29380,"Lake City, FL Micro Area",2006
29420,"Lake Havasu City-Kingman, AZ Micro Area",2006
29460,"Lakeland, FL Metro Area",2006
29540,"Lancaster, PA Metro Area",2006
29620,"Lansing-East Lansing, MI Metro Area",2006
29700,"Laredo, TX Metro Area",2006
29740,"Las Cruces, NM Metro Area",2006
29820,"Las Vegas-Paradise, NV Metro Area",2006
29860,"Laurel, MS Micro Area",2006
29940,"Lawrence, KS Metro Area",2006
30020,"Lawton, OK Metro Area",2006
30100,"Lebanon, NH-VT Micro Area",2006
