,MSA,Year,Total,Estimated,Rate
0,"Abilene, TX ",2006,6,6,3.7
1,"Abilene, TX ",2007,10,10,6.3
2,"Abilene, TX ",2008,7,7,4.4
3,"Abilene, TX ",2009,7,7,4.4
4,"Abilene, TX ",2010,5,5,3.1
5,"Abilene, TX ",2011,5,5,3
6,"Abilene, TX ",2012,3,3,1.8
7,"Abilene, TX ",2013,1,1,0.6
8,"Abilene, TX ",2014,10,10,5.9
9,"Abilene, TX ",2015,9,9,5.3
10,"Abilene, TX ",2016,11,11,6.5
11,"Aguadilla-Isabela, Puerto Rico ",2012,31,31,9.3
12,"Aguadilla-Isabela, Puerto Rico ",2013,36,36,11
13,"Aguadilla-Isabela, Puerto Rico ",2014,19,19,5.9
14,"Aguadilla-Isabela, Puerto Rico ",2015,15,15,4.8
15,"Aguadilla-Isabela, Puerto Rico ",2016,22,22,7.1
16,"Aguadilla-Isabela-San Sebastian, Puerto Rico ",2006,8,8,2.5
17,"Aguadilla-Isabela-San Sebastian, Puerto Rico ",2007,13,13,3.9
18,"Aguadilla-Isabela-San Sebastian, Puerto Rico ",2008,21,21,6.2
19,"Aguadilla-Isabela-San Sebastian, Puerto Rico ",2009,13,13,3.8
20,"Aguadilla-Isabela-San Sebastian, Puerto Rico ",2011,30,30,9.8
21,"Akron, OH ",2007,23,25,3.6
22,"Akron, OH ",2008,23,24,3.4
23,"Akron, OH ",2009,27,28,4
24,"Akron, OH ",2010,26,26,3.7
25,"Akron, OH ",2011,32,33,4.7
26,"Akron, OH ",2012,26,27,3.8
27,"Akron, OH ",2013,35,36,5.1
28,"Akron, OH ",2014,33,34,4.8
29,"Akron, OH ",2015,35,36,5.1
30,"Akron, OH ",2016,41,42,6
31,"Albany, GA ",2006,11,11,6.5
32,"Albany, GA ",2007,15,15,9.1
33,"Albany, GA ",2009,9,9,5.4
34,"Albany, GA ",2010,13,14,8.7
35,"Albany, GA ",2011,16,16,10
36,"Albany, GA ",2012,9,9,5.6
37,"Albany, GA ",2013,9,9,5.7
38,"Albany, GA ",2014,9,9,5.8
39,"Albany, GA ",2015,12,12,7.8
40,"Albany, GA ",2016,18,18,11.8
41,"Albany, OR ",2012,0,0,0
42,"Albany, OR ",2013,1,1,0.8
43,"Albany, OR ",2014,3,3,2.5
44,"Albany, OR ",2015,3,3,2.5
45,"Albany, OR ",2016,0,0,0
46,"Albany-Schenectady-Troy, NY ",2006,18,18,2.1
47,"Albany-Schenectady-Troy, NY ",2007,13,13,1.5
48,"Albany-Schenectady-Troy, NY ",2008,23,23,2.7
49,"Albany-Schenectady-Troy, NY ",2009,24,24,2.8
50,"Albany-Schenectady-Troy, NY ",2010,13,13,1.5
51,"Albany-Schenectady-Troy, NY ",2011,13,13,1.5
52,"Albany-Schenectady-Troy, NY ",2012,23,23,2.6
53,"Albany-Schenectady-Troy, NY ",2013,24,24,2.7
54,"Albany-Schenectady-Troy, NY ",2014,32,32,3.6
55,"Albany-Schenectady-Troy, NY ",2016,18,18,2
56,"Albuquerque, NM ",2006,72,72,8.9
57,"Albuquerque, NM ",2007,68,68,8.2
58,"Albuquerque, NM ",2008,64,64,7.6
59,"Albuquerque, NM ",2009,67,68,7.9
60,"Albuquerque, NM ",2010,51,51,5.8
61,"Albuquerque, NM ",2011,45,45,5
62,"Albuquerque, NM ",2012,53,53,5.9
63,"Albuquerque, NM ",2013,50,53,5.9
64,"Albuquerque, NM ",2014,43,43,4.8
65,"Albuquerque, NM ",2015,55,55,6.1
66,"Albuquerque, NM ",2016,75,75,8.3
67,"Alexandria, LA ",2006,10,10,7.1
68,"Alexandria, LA ",2007,9,10,6.7
69,"Alexandria, LA ",2009,9,10,6.5
70,"Alexandria, LA ",2010,9,9,5.8
71,"Alexandria, LA ",2011,5,5,3.2
72,"Alexandria, LA ",2012,9,9,5.8
73,"Alexandria, LA ",2013,11,12,7.8
74,"Alexandria, LA ",2014,10,10,6.5
75,"Alexandria, LA ",2015,7,7,4.5
76,"Alexandria, LA ",2016,12,12,7.8
77,"Allentown-Bethlehem-Easton, PA-NJ ",2007,37,37,4.6
78,"Allentown-Bethlehem-Easton, PA-NJ ",2008,23,23,2.8
79,"Allentown-Bethlehem-Easton, PA-NJ ",2009,24,24,2.9
80,"Allentown-Bethlehem-Easton, PA-NJ ",2010,29,29,3.5
81,"Allentown-Bethlehem-Easton, PA-NJ ",2011,23,23,2.8
82,"Allentown-Bethlehem-Easton, PA-NJ ",2012,34,34,4.1
83,"Allentown-Bethlehem-Easton, PA-NJ ",2013,24,24,2.9
84,"Allentown-Bethlehem-Easton, PA-NJ ",2014,18,18,2.2
85,"Allentown-Bethlehem-Easton, PA-NJ ",2016,22,22,2.6
86,"Altoona, PA ",2006,1,1,0.8
87,"Altoona, PA ",2007,3,3,2.4
88,"Altoona, PA ",2008,4,4,3.2
89,"Altoona, PA ",2009,3,3,2.4
90,"Altoona, PA ",2010,1,1,0.8
91,"Altoona, PA ",2011,2,2,1.6
92,"Altoona, PA ",2012,6,6,4.7
93,"Altoona, PA ",2013,2,2,1.6
94,"Altoona, PA ",2014,1,1,0.8
95,"Altoona, PA ",2015,1,1,0.8
96,"Altoona, PA ",2016,1,1,0.8
97,"Amarillo, TX ",2006,7,7,2.9
98,"Amarillo, TX ",2007,19,19,7.8
99,"Amarillo, TX ",2008,15,15,6.1
100,"Amarillo, TX ",2009,13,13,5.3
101,"Amarillo, TX ",2010,14,14,5.7
102,"Amarillo, TX ",2011,12,12,4.7
103,"Amarillo, TX ",2012,11,11,4.2
104,"Amarillo, TX ",2013,9,9,3.5
105,"Amarillo, TX ",2014,10,10,3.8
106,"Amarillo, TX ",2015,9,9,3.4
107,"Amarillo, TX ",2016,14,14,5.3
108,"Ames, IA ",2006,0,0,0
109,"Ames, IA ",2007,2,2,2.5
110,"Ames, IA ",2008,5,5,5.8
111,"Ames, IA ",2009,0,0,0
112,"Ames, IA ",2010,1,1,1.1
113,"Ames, IA ",2011,0,0,0
114,"Ames, IA ",2012,0,0,0
115,"Ames, IA ",2013,0,0,0
116,"Ames, IA ",2014,0,0,0
117,"Ames, IA ",2015,1,1,1
118,"Ames, IA ",2016,1,1,1
119,"Anaheim-Santa Ana-Irvine, CA M.D.",2012,51,51,1.7
120,"Anaheim-Santa Ana-Irvine, CA M.D.",2013,51,51,1.6
121,"Anaheim-Santa Ana-Irvine, CA M.D.",2014,61,61,1.9
122,"Anaheim-Santa Ana-Irvine, CA M.D.",2015,57,57,1.8
123,"Anaheim-Santa Ana-Irvine, CA M.D.",2016,57,57,1.8
124,"Anchorage, AK ",2006,17,17,5.8
125,"Anchorage, AK ",2007,22,22,7.2
126,"Anchorage, AK ",2008,10,10,3.3
127,"Anchorage, AK ",2009,14,14,4.6
128,"Anchorage, AK ",2010,13,13,4.2
129,"Anchorage, AK ",2011,13,13,4.2
130,"Anchorage, AK ",2012,15,15,4.8
131,"Anchorage, AK ",2013,15,15,4.8
132,"Anchorage, AK ",2014,13,13,4.1
133,"Anchorage, AK ",2015,26,26,8.2
134,"Anchorage, AK ",2016,28,28,8.9
135,"Anderson, IN ",2007,4,4,3.1
136,"Anderson, IN ",2009,1,1,0.8
137,"Anderson, IN ",2010,3,3,2.3
138,"Anderson, SC ",2006,18,18,10.1
139,"Anderson, SC ",2007,5,5,2.8
140,"Anderson, SC ",2008,18,18,9.9
141,"Anderson, SC ",2009,9,9,4.8
142,"Anderson, SC ",2010,10,10,5.3
143,"Anderson, SC ",2011,15,15,7.9
144,"Ann Arbor, MI ",2006,9,9,2.6
145,"Ann Arbor, MI ",2007,6,6,1.7
146,"Ann Arbor, MI ",2008,11,11,3.1
